42306,0.055556,0.030303, x val = 130, y val = 128
42321,0.055556,0.030303, x val = 130, y val = 128
42336,0.055556,0.030303, x val = 130, y val = 128
42351,0.055556,0.030303, x val = 130, y val = 128
42366,0.055556,0.030303, x val = 130, y val = 128
42381,0.055556,0.030303, x val = 130, y val = 128
42396,0.055556,0.030303, x val = 130, y val = 128
42411,0.055556,0.030303, x val = 130, y val = 128
42426,0.055556,0.030303, x val = 130, y val = 128
42441,0.055556,0.030303, x val = 130, y val = 128
42456,0.055556,0.030303, x val = 130, y val = 128
42471,0.055556,0.030303, x val = 130, y val = 128
42486,0.055556,0.030303, x val = 130, y val = 128
42501,0.055556,0.030303, x val = 130, y val = 128
42516,0.055556,0.030303, x val = 130, y val = 128
42531,0.055556,0.030303, x val = 130, y val = 128
42546,0.055556,0.030303, x val = 130, y val = 128
42561,0.055556,0.030303, x val = 130, y val = 128
42576,0.055556,0.030303, x val = 130, y val = 128
42591,0.055556,0.030303, x val = 130, y val = 128
42606,0.055556,0.030303, x val = 130, y val = 128
42621,0.055556,0.030303, x val = 130, y val = 128
42636,0.055556,0.030303, x val = 130, y val = 128
42651,0.055556,0.030303, x val = 130, y val = 128
42666,0.055556,0.030303, x val = 130, y val = 128
42681,0.055556,0.030303, x val = 130, y val = 128
42696,0.055556,0.030303, x val = 130, y val = 128
42711,0.055556,0.030303, x val = 130, y val = 128
42726,0.055556,0.030303, x val = 130, y val = 128
42741,0.055556,0.030303, x val = 130, y val = 128
42756,0.055556,0.030303, x val = 130, y val = 128
42771,0.055556,0.030303, x val = 130, y val = 128
42786,0.055556,0.030303, x val = 130, y val = 128
42801,0.055556,0.030303, x val = 130, y val = 128
42816,0.055556,0.030303, x val = 130, y val = 128
42831,0.055556,0.030303, x val = 130, y val = 128
42846,0.055556,0.030303, x val = 130, y val = 128
42861,0.055556,0.030303, x val = 130, y val = 128
42876,0.055556,0.030303, x val = 130, y val = 128
42891,0.055556,0.030303, x val = 130, y val = 128
42906,0.055556,0.030303, x val = 130, y val = 128
42921,0.055556,0.030303, x val = 130, y val = 128
42936,0.055556,0.030303, x val = 130, y val = 128
42951,0.055556,0.030303, x val = 130, y val = 128
42966,0.055556,0.030303, x val = 130, y val = 128
42981,0.055556,0.030303, x val = 130, y val = 128
