
72216,0.081081,0.189189, x val = 130, y val = 129
72231,0.081081,0.189189, x val = 130, y val = 129
72246,0.081081,0.189189, x val = 130, y val = 129
72261,0.081081,0.189189, x val = 130, y val = 129
72276,0.081081,0.189189, x val = 130, y val = 129
72291,0.081081,0.189189, x val = 130, y val = 129
72306,0.081081,0.189189, x val = 130, y val = 129
72321,0.081081,0.189189, x val = 130, y val = 129
72336,0.081081,0.189189, x val = 130, y val = 129
72351,0.081081,0.189189, x val = 130, y val = 129
72366,0.081081,0.189189, x val = 130, y val = 129
72381,0.081081,0.189189, x val = 130, y val = 129
72396,0.081081,0.189189, x val = 130, y val = 129
72411,0.081081,0.189189, x val = 130, y val = 129
72426,0.081081,0.189189, x val = 130, y val = 129
72441,0.081081,0.189189, x val = 130, y val = 129
72456,0.081081,0.189189, x val = 130, y val = 129
72471,0.081081,0.189189, x val = 130, y val = 129
72486,0.081081,0.189189, x val = 130, y val = 129
72501,0.081081,0.189189, x val = 130, y val = 129
72516,0.081081,0.189189, x val = 130, y val = 129
72531,0.081081,0.189189, x val = 130, y val = 129
72546,0.081081,0.189189, x val = 130, y val = 129
72561,0.081081,0.189189, x val = 130, y val = 129
72576,0.081081,0.189189, x val = 130, y val = 129
72591,0.081081,0.189189, x val = 130, y val = 129
72606,0.081081,0.189189, x val = 130, y val = 129
72621,0.081081,0.189189, x val = 130, y val = 129
72636,0.081081,0.189189, x val = 130, y val = 129
72651,0.081081,0.189189, x val = 130, y val = 129
72666,0.081081,0.189189, x val = 130, y val = 129
72681,0.081081,0.189189, x val = 130, y val = 129
72696,0.081081,0.189189, x val = 130, y val = 129
72711,0.081081,0.189189, x val = 130, y val = 129
72726,0.081081,0.189189, x val = 130, y val = 129
72741,0.081081,0.189189, x val = 130, y val = 129
72756,0.081081,0.189189, x val = 130, y val = 129
72771,0.081081,0.189189, x val = 130, y val = 129
72786,0.081081,0.189189, x val = 130, y val = 129
72801,0.081081,0.189189, x val = 130, y val = 129
72816,0.081081,0.189189, x val = 130, y val = 129
72831,0.081081,0.189189, x val = 130, y val = 129
72846,0.081081,0.189189, x val = 130, y val = 129
72861,0.081081,0.189189, x val = 130, y val = 129
72876,0.081081,0.189189, x val = 130, y val = 129
72891,0.081081,0.189189, x val = 130, y val = 129
72906,0.081081,0.189189, x val = 130, y val = 129
72921,0.081081,0.189189, x val = 130, y val = 129
72936,0.081081,0.189189, x val = 130, y val = 129
72951,0.081081,0.189189, x val = 130, y val = 129
72966,0.081081,0.189189, x val = 130, y val = 129
72981,0.081081,0.189189, x val = 130, y val = 129
72996,0.081081,0.189189, x val = 130, y val = 129
73011,0.081081,0.189189, x val = 130, y val = 129
73026,0.081081,0.189189, x val = 130, y val = 129
73041,0.081081,0.189189, x val = 130, y val = 129
73056,0.081081,0.189189, x val = 130, y val = 129
73071,0.081081,0.189189, x val = 130, y val = 129
73086,0.081081,0.189189, x val = 130, y val = 129
73101,0.081081,0.189189, x val = 130, y val = 129
73116,0.081081,0.189189, x val = 130, y val = 129
73131,0.081081,0.189189, x val = 130, y val = 129
73146,0.081081,0.189189, x val = 130, y val = 129
73161,0.081081,0.189189, x val = 130, y val = 129
73176,0.081081,0.189189, x val = 130, y val = 129
73191,0.081081,0.189189, x val = 130, y val = 129
73206,0.081081,0.189189, x val = 130, y val = 129
73221,0.081081,0.189189, x val = 130, y val = 129
73236,0.081081,0.189189, x val = 130, y val = 129
73251,0.081081,0.189189, x val = 130, y val = 129
73266,0.081081,0.189189, x val = 130, y val = 129
73281,0.081081,0.189189, x val = 130, y val = 129
73296,0.081081,0.189189, x val = 130, y val = 129
73311,0.081081,0.189189, x val = 130, y val = 129
73326,0.081081,0.189189, x val = 130, y val = 129
73341,0.081081,0.189189, x val = 130, y val = 129
73356,0.081081,0.189189, x val = 130, y val = 129
73371,0.081081,0.189189, x val = 130, y val = 129
73386,0.081081,0.189189, x val = 130, y val = 129
73401,0.081081,0.189189, x val = 130, y val = 129
73416,0.081081,0.189189, x val = 130, y val = 129
73431,0.081081,0.189189, x val = 130, y val = 129
73446,0.081081,0.189189, x val = 130, y val = 129
73461,0.081081,0.189189, x val = 130, y val = 129
73476,0.081081,0.189189, x val = 130, y val = 129
73491,0.081081,0.189189, x val = 130, y val = 129
73506,0.081081,0.189189, x val = 130, y val = 129
73521,0.081081,0.243243, x val = 130, y val = 130
73536,0.081081,0.351351, x val = 130, y val = 132
73551,0.081081,0.513514, x val = 130, y val = 135
73566,0.081081,0.675676, x val = 130, y val = 138
73581,0.081081,0.891892, x val = 130, y val = 142
73596,0.081081,0.891892, x val = 130, y val = 142
73611,0.081081,0.891892, x val = 130, y val = 142
73626,0.081081,0.891892, x val = 130, y val = 142
73641,0.081081,0.891892, x val = 130, y val = 142
73656,0.081081,0.891892, x val = 130, y val = 142
73671,0.081081,0.891892, x val = 130, y val = 142
73686,0.081081,0.891892, x val = 130, y val = 142
73701,0.081081,0.891892, x val = 130, y val = 142
73716,0.081081,0.891892, x val = 130, y val = 142
73731,0.081081,0.891892, x val = 130, y val = 142
73746,0.081081,0.891892, x val = 130, y val = 142
73761,0.081081,0.891892, x val = 130, y val = 142
73776,0.081081,0.891892, x val = 130, y val = 142
73791,0.081081,0.891892, x val = 130, y val = 142
73806,0.081081,0.891892, x val = 130, y val = 142
73821,0.081081,0.891892, x val = 130, y val = 142
73836,0.081081,0.891892, x val = 130, y val = 142
73851,0.081081,0.891892, x val = 130, y val = 142
73866,0.081081,0.891892, x val = 130, y val = 142
73881,0.081081,0.891892, x val = 130, y val = 142
73896,0.081081,0.891892, x val = 130, y val = 142
73911,0.081081,0.891892, x val = 130, y val = 142
73926,0.081081,0.891892, x val = 130, y val = 142
73941,0.081081,0.891892, x val = 130, y val = 142
73956,0.081081,0.891892, x val = 130, y val = 142
73971,0.081081,0.891892, x val = 130, y val = 142
73986,0.081081,0.891892, x val = 130, y val = 142
74001,0.081081,0.891892, x val = 130, y val = 142
74016,0.081081,0.891892, x val = 130, y val = 142
74031,0.081081,0.783784, x val = 130, y val = 140
74046,0.081081,0.297297, x val = 130, y val = 131
74061,0.081081,0.297297, x val = 130, y val = 131
74076,0.081081,0.297297, x val = 130, y val = 131
74091,0.081081,0.297297, x val = 130, y val = 131
74106,0.081081,0.297297, x val = 130, y val = 131
74121,0.081081,0.297297, x val = 130, y val = 131
74136,0.081081,0.297297, x val = 130, y val = 131
74151,0.081081,0.297297, x val = 130, y val = 131
74166,0.081081,0.297297, x val = 130, y val = 131
74181,0.081081,0.297297, x val = 130, y val = 131
74196,0.081081,0.297297, x val = 130, y val = 131
74211,0.081081,0.297297, x val = 130, y val = 131
74226,0.081081,0.297297, x val = 130, y val = 131
74241,0.081081,0.297297, x val = 130, y val = 131
74256,0.081081,0.297297, x val = 130, y val = 131
74271,0.081081,0.297297, x val = 130, y val = 131
74286,0.081081,0.297297, x val = 130, y val = 131
74301,0.081081,0.297297, x val = 130, y val = 131
74316,0.081081,0.297297, x val = 130, y val = 131
74331,0.081081,0.297297, x val = 130, y val = 131
74346,0.081081,0.297297, x val = 130, y val = 131
74361,0.081081,0.297297, x val = 130, y val = 131
74376,0.081081,0.297297, x val = 130, y val = 131
74391,0.081081,0.297297, x val = 130, y val = 131
74406,0.081081,0.297297, x val = 130, y val = 131
74421,0.081081,0.297297, x val = 130, y val = 131
74436,0.081081,0.297297, x val = 130, y val = 131
74451,0.081081,0.297297, x val = 130, y val = 131
74466,0.081081,0.297297, x val = 130, y val = 131
74481,0.081081,0.297297, x val = 130, y val = 131
74496,0.081081,0.297297, x val = 130, y val = 131
74511,0.081081,0.297297, x val = 130, y val = 131
74526,0.081081,0.297297, x val = 130, y val = 131
74541,0.081081,0.297297, x val = 130, y val = 131
74556,0.081081,0.297297, x val = 130, y val = 131
74571,0.081081,0.297297, x val = 130, y val = 131
74586,0.081081,0.297297, x val = 130, y val = 131
74601,0.081081,0.297297, x val = 130, y val = 131
74616,0.081081,0.297297, x val = 130, y val = 131
74631,0.081081,0.297297, x val = 130, y val = 131
74646,0.081081,0.297297, x val = 130, y val = 131
74661,0.081081,0.297297, x val = 130, y val = 131
74676,0.081081,0.297297, x val = 130, y val = 131
74691,0.081081,0.297297, x val = 130, y val = 131
74706,0.081081,0.297297, x val = 130, y val = 131
74721,0.081081,0.297297, x val = 130, y val = 131
74736,0.081081,0.297297, x val = 130, y val = 131
