8502,-0.052632,0.135135, x val = 128, y val = 128
98517,-0.052632,0.135135, x val = 128, y val = 128
98532,-0.052632,0.135135, x val = 128, y val = 128
98547,-0.052632,0.135135, x val = 128, y val = 128
98563,-0.052632,0.135135, x val = 128, y val = 128
98578,-0.052632,0.135135, x val = 128, y val = 128
98593,-0.052632,0.135135, x val = 128, y val = 128
98608,-0.052632,0.135135, x val = 128, y val = 128
98623,-0.052632,0.135135, x val = 128, y val = 128
98638,-0.052632,0.135135, x val = 128, y val = 128
98654,-0.052632,0.135135, x val = 128, y val = 128
98669,-0.052632,0.135135, x val = 128, y val = 128
98684,-0.052632,0.135135, x val = 128, y val = 128
98699,-0.052632,0.135135, x val = 128, y val = 128
98714,-0.052632,0.135135, x val = 128, y val = 128
98729,-0.052632,0.135135, x val = 128, y val = 128
98745,-0.052632,0.135135, x val = 128, y val = 128
98760,-0.052632,0.135135, x val = 128, y val = 128
98775,-0.052632,0.135135, x val = 128, y val = 128
98790,-0.052632,0.135135, x val = 128, y val = 128
98805,-0.052632,0.135135, x val = 128, y val = 128
98820,-0.052632,0.135135, x val = 128, y val = 128
98836,-0.052632,0.135135, x val = 128, y val = 128
98851,-0.052632,0.135135, x val = 128, y val = 128
98866,-0.052632,0.135135, x val = 128, y val = 128
98881,-0.052632,0.135135, x val = 128, y val = 128
98896,-0.052632,0.135135, x val = 128, y val = 128
98911,-0.052632,0.135135, x val = 128, y val = 128
98927,-0.052632,0.135135, x val = 128, y val = 128
98942,-0.052632,0.135135, x val = 128, y val = 128
98957,-0.052632,0.135135, x val = 128, y val = 128
98972,-0.052632,0.135135, x val = 128, y val = 128
98987,-0.052632,0.135135, x val = 128, y val = 128
99002,-0.052632,0.135135, x val = 128, y val = 128
99018,-0.052632,0.135135, x val = 128, y val = 128
99033,-0.052632,0.135135, x val = 128, y val = 128
99048,-0.052632,0.135135, x val = 128, y val = 128
99063,-0.052632,0.135135, x val = 128, y val = 128
99078,-0.052632,0.135135, x val = 128, y val = 128
99093,-0.052632,0.135135, x val = 128, y val = 128
99109,-0.052632,0.135135, x val = 128, y val = 128
99124,-0.052632,0.135135, x val = 128, y val = 128
99139,-0.052632,0.135135, x val = 128, y val = 128
99154,-0.052632,0.135135, x val = 128, y val = 128
99169,-0.052632,0.135135, x val = 128, y val = 128
99184,-0.052632,0.135135, x val = 128, y val = 128
99200,-0.052632,0.135135, x val = 128, y val = 128
99215,-0.052632,0.135135, x val = 128, y val = 128
99230,-0.052632,0.135135, x val = 128, y val = 128
99245,-0.052632,0.135135, x val = 128, y val = 128
99260,-0.052632,0.135135, x val = 128, y val = 128
99275,-0.052632,0.135135, x val = 128, y val = 128
99291,-0.052632,0.135135, x val = 128, y val = 128
99306,-0.052632,0.135135, x val = 128, y val = 128
99321,-0.052632,0.135135, x val = 128, y val = 128
99336,-0.052632,0.135135, x val = 128, y val = 128
99351,-0.052632,0.135135, x val = 128, y val = 128
99366,-0.052632,0.135135, x val = 128, y val = 128
99382,-0.052632,0.135135, x val = 128, y val = 128
99397,-0.052632,0.135135, x val = 128, y val = 128
99412,-0.052632,0.135135, x val = 128, y val = 128
99427,-0.052632,0.135135, x val = 128, y val = 128
99442,-0.052632,0.135135, x val = 128, y val = 128
99457,-0.052632,0.135135, x val = 128, y val = 128
99473,-0.052632,0.135135, x val = 128, y val = 128
99488,-0.052632,0.135135, x val = 128, y val = 128
99503,-0.052632,0.135135, x val = 128, y val = 128
99518,-0.052632,0.135135, x val = 128, y val = 128
99533,-0.052632,0.135135, x val = 128, y val = 128
99548,-0.052632,0.135135, x val = 128, y val = 128
99563,-0.052632,0.135135, x val = 128, y val = 128
99578,-0.052632,0.135135, x val = 128, y val = 128
99593,-0.052632,0.135135, x val = 128, y val = 128
99609,-0.052632,0.135135, x val = 128, y val = 128
99624,-0.052632,0.135135, x val = 128, y val = 128
99639,-0.052632,0.135135, x val = 128, y val = 128
99654,-0.052632,0.135135, x val = 128, y val = 128
99669,-0.052632,0.135135, x val = 128, y val = 128
99684,-0.052632,0.135135, x val = 128, y val = 128
99700,-0.052632,0.135135, x val = 128, y val = 128
99715,-0.052632,0.135135, x val = 128, y val = 128
99730,-0.052632,0.135135, x val = 128, y val = 128
99745,-0.052632,0.135135, x val = 128, y val = 128
99760,-0.052632,0.135135, x val = 128, y val = 128
99775,-0.052632,0.135135, x val = 128, y val = 128
99791,-0.052632,0.135135, x val = 128, y val = 128
99806,-0.052632,0.135135, x val = 128, y val = 128
99821,-0.052632,0.135135, x val = 128, y val = 128
99836,-0.052632,0.135135, x val = 128, y val = 128
99851,-0.052632,0.135135, x val = 128, y val = 128
99866,-0.052632,0.135135, x val = 128, y val = 128
99882,-0.052632,0.135135, x val = 128, y val = 128
99897,-0.052632,0.135135, x val = 128, y val = 128
99912,-0.052632,0.135135, x val = 128, y val = 128
99927,-0.052632,0.135135, x val = 128, y val = 128
99942,-0.052632,0.135135, x val = 128, y val = 128
99957,-0.052632,0.135135, x val = 128, y val = 128
99973,-0.052632,0.243243, x val = 128, y val = 130
99988,-0.052632,0.297297, x val = 128, y val = 131
100003,-0.052632,0.405405, x val = 128, y val = 133
100019,-0.052632,0.675676, x val = 128, y val = 138
100035,0.000000,0.945946, x val = 129, y val = 143
100050,0.000000,1.000000, x val = 129, y val = 144
100065,0.000000,1.000000, x val = 129, y val = 144
100080,0.000000,1.000000, x val = 129, y val = 144
100095,0.000000,1.000000, x val = 129, y val = 144
100110,0.000000,1.000000, x val = 129, y val = 144
100125,0.000000,1.000000, x val = 129, y val = 144
100140,0.000000,1.000000, x val = 129, y val = 144
100155,0.000000,1.000000, x val = 129, y val = 144
100170,0.000000,1.000000, x val = 129, y val = 144
100185,0.000000,1.000000, x val = 129, y val = 144
100200,0.000000,1.000000, x val = 129, y val = 144
100215,0.000000,1.000000, x val = 129, y val = 144
100230,0.000000,1.000000, x val = 129, y val = 144
100245,0.000000,1.000000, x val = 129, y val = 144
100260,0.000000,1.000000, x val = 129, y val = 144
