
123162,-0.781818,0.405405, x val = 63, y val = 133
123178,-0.781818,0.405405, x val = 63, y val = 133
123193,-0.781818,0.405405, x val = 63, y val = 133
123208,-0.781818,0.405405, x val = 63, y val = 133
123224,-0.781818,0.405405, x val = 63, y val = 133
123239,-0.781818,0.405405, x val = 63, y val = 133
123254,-0.781818,0.405405, x val = 63, y val = 133
123269,-0.781818,0.405405, x val = 63, y val = 133
123284,-0.781818,0.405405, x val = 63, y val = 133
123299,-0.781818,0.405405, x val = 63, y val = 133
123314,-0.781818,0.405405, x val = 63, y val = 133
123329,-0.781818,0.405405, x val = 63, y val = 133
123344,-0.781818,0.405405, x val = 63, y val = 133
123360,-0.781818,0.405405, x val = 63, y val = 133
123375,-0.781818,0.405405, x val = 63, y val = 133
123390,-0.781818,0.405405, x val = 63, y val = 133
123405,-0.781818,0.405405, x val = 63, y val = 133
123420,-0.781818,0.405405, x val = 63, y val = 133
123435,-0.781818,0.405405, x val = 63, y val = 133
123451,-0.781818,0.405405, x val = 63, y val = 133
123466,-0.781818,0.405405, x val = 63, y val = 133
123481,-0.781818,0.405405, x val = 63, y val = 133
123497,-0.781818,0.405405, x val = 63, y val = 133
123512,-0.781818,0.405405, x val = 63, y val = 133
123527,-0.781818,0.405405, x val = 63, y val = 133
123542,-0.781818,0.405405, x val = 63, y val = 133
123557,-0.781818,0.405405, x val = 63, y val = 133
123572,-0.781818,0.405405, x val = 63, y val = 133
123587,-0.781818,0.405405, x val = 63, y val = 133
123602,-0.781818,0.405405, x val = 63, y val = 133
123617,-0.781818,0.405405, x val = 63, y val = 133
123633,-0.781818,0.405405, x val = 63, y val = 133
123648,-0.781818,0.405405, x val = 63, y val = 133
123663,-0.781818,0.405405, x val = 63, y val = 133
123678,-0.781818,0.405405, x val = 63, y val = 133
123693,-0.781818,0.405405, x val = 63, y val = 133
123708,-0.781818,0.405405, x val = 63, y val = 133
123724,-0.781818,0.405405, x val = 63, y val = 133
123739,-0.781818,0.405405, x val = 63, y val = 133
123754,-0.781818,0.405405, x val = 63, y val = 133
123770,-0.781818,0.405405, x val = 63, y val = 133
123785,-0.781818,0.405405, x val = 63, y val = 133
123800,-0.781818,0.405405, x val = 63, y val = 133
123815,-0.781818,0.405405, x val = 63, y val = 133
123830,-0.781818,0.405405, x val = 63, y val = 133
123845,-0.781818,0.405405, x val = 63, y val = 133
123861,-0.781818,0.405405, x val = 63, y val = 133
123876,-0.781818,0.405405, x val = 63, y val = 133
123891,-0.781818,0.405405, x val = 63, y val = 133
123906,-0.781818,0.405405, x val = 63, y val = 133
123921,-0.781818,0.405405, x val = 63, y val = 133
123936,-0.781818,0.405405, x val = 63, y val = 133
123952,-0.781818,0.405405, x val = 63, y val = 133
123967,-0.781818,0.405405, x val = 63, y val = 133
123982,-0.781818,0.405405, x val = 63, y val = 133
123997,-0.781818,0.405405, x val = 63, y val = 133
124012,-0.781818,0.405405, x val = 63, y val = 133
124027,-0.781818,0.405405, x val = 63, y val = 133
