32984,-0.027027,0.000000, x val = 129, y val = 127
32999,-0.027027,0.000000, x val = 129, y val = 127
33014,-0.027027,0.000000, x val = 129, y val = 127
33029,-0.027027,0.000000, x val = 129, y val = 127
33044,-0.027027,0.000000, x val = 129, y val = 127
33059,-0.027027,0.000000, x val = 129, y val = 127
33074,-0.027027,0.000000, x val = 129, y val = 127
33089,-0.027027,0.000000, x val = 129, y val = 127
33104,-0.027027,0.000000, x val = 129, y val = 127
33119,-0.027027,0.000000, x val = 129, y val = 127
33134,-0.027027,0.000000, x val = 129, y val = 127
33149,-0.027027,0.000000, x val = 129, y val = 127
33164,-0.027027,0.000000, x val = 129, y val = 127
33179,-0.027027,0.000000, x val = 129, y val = 127
33194,-0.027027,0.000000, x val = 129, y val = 127
33209,-0.027027,0.000000, x val = 129, y val = 127
33224,-0.027027,0.000000, x val = 129, y val = 127
33239,-0.027027,0.000000, x val = 129, y val = 127
33254,-0.027027,0.000000, x val = 129, y val = 127
33269,-0.027027,0.000000, x val = 129, y val = 127
33284,-0.027027,0.000000, x val = 129, y val = 127
33299,-0.027027,0.000000, x val = 129, y val = 127
33314,-0.027027,0.000000, x val = 129, y val = 127
33329,-0.027027,0.000000, x val = 129, y val = 127
33344,-0.027027,0.000000, x val = 129, y val = 127
33359,-0.027027,0.000000, x val = 129, y val = 127
33374,-0.027027,0.000000, x val = 129, y val = 127
33389,-0.027027,0.000000, x val = 129, y val = 127
33404,-0.027027,0.000000, x val = 129, y val = 127
33419,-0.027027,0.000000, x val = 129, y val = 127
33434,-0.027027,0.000000, x val = 129, y val = 127
33449,-0.027027,0.000000, x val = 129, y val = 127
33464,-0.027027,0.000000, x val = 129, y val = 127
33479,-0.027027,0.000000, x val = 129, y val = 127
33494,-0.027027,0.000000, x val = 129, y val = 127
33509,-0.027027,0.000000, x val = 129, y val = 127
33524,-0.027027,0.000000, x val = 129, y val = 127
33539,-0.027027,0.000000, x val = 129, y val = 127
33554,-0.027027,0.000000, x val = 129, y val = 127
33569,-0.027027,0.000000, x val = 129, y val = 127
33584,-0.027027,0.000000, x val = 129, y val = 127
33599,-0.027027,0.000000, x val = 129, y val = 127
33614,-0.027027,0.000000, x val = 129, y val = 127
33629,-0.027027,0.000000, x val = 129, y val = 127
33644,-0.027027,0.000000, x val = 129, y val = 127
33659,-0.027027,0.000000, x val = 129, y val = 127
33674,-0.027027,0.000000, x val = 129, y val = 127
33689,-0.027027,0.000000, x val = 129, y val = 127
33704,-0.027027,0.000000, x val = 129, y val = 127
33719,-0.027027,0.000000, x val = 129, y val = 127
33734,-0.027027,0.000000, x val = 129, y val = 127
33749,-0.027027,0.000000, x val = 129, y val = 127
33764,-0.027027,0.000000, x val = 129, y val = 127
33779,-0.027027,0.000000, x val = 129, y val = 127
33794,-0.027027,0.000000, x val = 129, y val = 127
33809,-0.027027,0.000000, x val = 129, y val = 127
33824,-0.027027,0.000000, x val = 129, y val = 127
33839,-0.027027,0.000000, x val = 129, y val = 127
33854,-0.027027,0.000000, x val = 129, y val = 127
33869,-0.027027,0.000000, x val = 129, y val = 127
33884,-0.027027,0.000000, x val = 129, y val = 127
33899,-0.027027,0.000000, x val = 129, y val = 127
33914,-0.027027,0.000000, x val = 129, y val = 127
33929,-0.027027,0.000000, x val = 129, y val = 127
33944,-0.027027,0.000000, x val = 129, y val = 127
33959,-0.027027,0.000000, x val = 129, y val = 127
33974,-0.027027,0.000000, x val = 129, y val = 127
33989,-0.027027,0.000000, x val = 129, y val = 127
34004,-0.027027,0.000000, x val = 129, y val = 127
34019,-0.027027,0.000000, x val = 129, y val = 127
34034,-0.027027,0.000000, x val = 129, y val = 127
34049,-0.027027,0.000000, x val = 129, y val = 127
34064,-0.027027,0.000000, x val = 129, y val = 127
34079,-0.027027,0.000000, x val = 129, y val = 127
34094,-0.027027,0.000000, x val = 129, y val = 127
34109,-0.027027,0.000000, x val = 129, y val = 127
34124,-0.027027,0.000000, x val = 129, y val = 127
34139,-0.027027,0.000000, x val = 129, y val = 127
34154,-0.027027,0.000000, x val = 129, y val = 127
34169,-0.027027,0.000000, x val = 129, y val = 127
34184,-0.027027,0.000000, x val = 129, y val = 127
34199,-0.027027,0.000000, x val = 129, y val = 127
34214,-0.027027,0.000000, x val = 129, y val = 127
34229,-0.027027,0.000000, x val = 129, y val = 127
34244,-0.027027,0.000000, x val = 129, y val = 127
34259,-0.027027,0.000000, x val = 129, y val = 127
34274,-0.027027,0.000000, x val = 129, y val = 127
