al = 129, y val = 128
55828,-0.027027,0.058824, x val = 129, y val = 128
55843,-0.027027,0.058824, x val = 129, y val = 128
55858,-0.027027,0.058824, x val = 129, y val = 128
55873,-0.027027,0.058824, x val = 129, y val = 128
55888,-0.027027,0.058824, x val = 129, y val = 128
55903,-0.027027,0.058824, x val = 129, y val = 128
55918,-0.027027,0.058824, x val = 129, y val = 128
55933,-0.027027,0.058824, x val = 129, y val = 128
55948,-0.027027,0.058824, x val = 129, y val = 128
55963,-0.027027,0.058824, x val = 129, y val = 128
55978,-0.027027,0.058824, x val = 129, y val = 128
55993,-0.027027,0.058824, x val = 129, y val = 128
56008,-0.027027,0.058824, x val = 129, y val = 128
56023,-0.027027,0.058824, x val = 129, y val = 128
56038,-0.027027,0.058824, x val = 129, y val = 128
56053,-0.027027,0.058824, x val = 129, y val = 128
56068,-0.027027,0.058824, x val = 129, y val = 128
56083,-0.027027,0.058824, x val = 129, y val = 128
56098,-0.027027,0.058824, x val = 129, y val = 128
56113,-0.027027,0.058824, x val = 129, y val = 128
56128,-0.027027,0.058824, x val = 129, y val = 128
56143,-0.027027,0.058824, x val = 129, y val = 128
56158,-0.027027,0.058824, x val = 129, y val = 128
56173,-0.027027,0.058824, x val = 129, y val = 128
56188,-0.027027,0.058824, x val = 129, y val = 128
56203,-0.027027,0.058824, x val = 129, y val = 128
56218,-0.027027,0.058824, x val = 129, y val = 128
56233,-0.027027,0.058824, x val = 129, y val = 128
56248,-0.027027,0.058824, x val = 129, y val = 128
56263,-0.027027,0.058824, x val = 129, y val = 128
56278,-0.027027,0.058824, x val = 129, y val = 128
56293,-0.027027,0.058824, x val = 129, y val = 128
56308,-0.027027,0.058824, x val = 129, y val = 128
56323,-0.027027,0.058824, x val = 129, y val = 128
56338,-0.027027,0.058824, x val = 129, y val = 128
56353,-0.027027,0.058824, x val = 129, y val = 128
56368,-0.027027,0.058824, x val = 129, y val = 128
56383,-0.027027,0.058824, x val = 129, y val = 128
56398,-0.027027,0.058824, x val = 129, y val = 128
56413,-0.027027,0.058824, x val = 129, y val = 128
56428,-0.027027,0.058824, x val = 129, y val = 128
56443,-0.027027,0.058824, x val = 129, y val = 128
56458,-0.027027,0.058824, x val = 129, y val = 128
56473,-0.027027,0.058824, x val = 129, y val = 128
56488,-0.027027,0.058824, x val = 129, y val = 128
56503,-0.027027,0.058824, x val = 129, y val = 128
56518,-0.027027,0.058824, x val = 129, y val = 128
56533,-0.027027,0.058824, x val = 129, y val = 128
56548,-0.027027,0.058824, x val = 129, y val = 128
56563,-0.027027,0.058824, x val = 129, y val = 128
56578,-0.027027,0.058824, x val = 129, y val = 128
56593,-0.027027,0.058824, x val = 129, y val = 128
56608,-0.027027,0.058824, x val = 129, y val = 128
56623,-0.027027,0.058824, x val = 129, y val = 128
56638,-0.027027,0.058824, x val = 129, y val = 128
56653,-0.027027,0.058824, x val = 129, y val = 128
56668,-0.027027,0.058824, x val = 129, y val = 128
56683,-0.027027,0.058824, x val = 129, y val = 128
56698,-0.027027,0.058824, x val = 129, y val = 128
