
77571,-0.081081,0.028571, x val = 128, y val = 127
77586,-0.081081,0.028571, x val = 128, y val = 127
77601,-0.081081,0.028571, x val = 128, y val = 127
77616,-0.081081,0.028571, x val = 128, y val = 127
77631,-0.081081,0.028571, x val = 128, y val = 127
77646,-0.081081,0.028571, x val = 128, y val = 127
77661,-0.081081,0.028571, x val = 128, y val = 127
77676,-0.081081,0.028571, x val = 128, y val = 127
77691,-0.081081,0.028571, x val = 128, y val = 127
77706,-0.081081,0.028571, x val = 128, y val = 127
77721,-0.081081,0.028571, x val = 128, y val = 127
77736,-0.081081,0.028571, x val = 128, y val = 127
77751,-0.081081,0.028571, x val = 128, y val = 127
77766,-0.081081,0.028571, x val = 128, y val = 127
77781,-0.081081,0.028571, x val = 128, y val = 127
77796,-0.081081,0.028571, x val = 128, y val = 127
77811,-0.081081,0.028571, x val = 128, y val = 127
77826,-0.081081,0.028571, x val = 128, y val = 127
77841,-0.081081,0.028571, x val = 128, y val = 127
77856,-0.081081,0.028571, x val = 128, y val = 127
77871,-0.081081,0.028571, x val = 128, y val = 127
77886,-0.081081,0.028571, x val = 128, y val = 127
77901,-0.081081,0.028571, x val = 128, y val = 127
77916,-0.081081,0.028571, x val = 128, y val = 127
77931,-0.081081,0.028571, x val = 128, y val = 127
77946,-0.081081,0.028571, x val = 128, y val = 127
77961,-0.081081,0.028571, x val = 128, y val = 127
77976,-0.081081,0.028571, x val = 128, y val = 127
77991,-0.081081,0.028571, x val = 128, y val = 127
78006,-0.081081,0.028571, x val = 128, y val = 127
78021,-0.081081,0.028571, x val = 128, y val = 127
78036,-0.081081,0.028571, x val = 128, y val = 127
78051,-0.081081,0.028571, x val = 128, y val = 127
78066,-0.081081,0.028571, x val = 128, y val = 127
78081,-0.081081,0.028571, x val = 128, y val = 127
78096,-0.081081,0.028571, x val = 128, y val = 127
78111,-0.081081,0.028571, x val = 128, y val = 127
78126,-0.081081,0.028571, x val = 128, y val = 127
78141,-0.081081,0.028571, x val = 128, y val = 127
78156,-0.081081,0.028571, x val = 128, y val = 127
78171,-0.081081,0.028571, x val = 128, y val = 127
78186,-0.081081,0.028571, x val = 128, y val = 127
78201,-0.081081,0.028571, x val = 128, y val = 127
78216,-0.081081,0.028571, x val = 128, y val = 127
78231,-0.081081,0.028571, x val = 128, y val = 127
78246,-0.081081,0.028571, x val = 128, y val = 127
78261,-0.081081,0.028571, x val = 128, y val = 127
78276,-0.081081,0.028571, x val = 128, y val = 127
78291,-0.081081,0.028571, x val = 128, y val = 127
78306,-0.081081,0.028571, x val = 128, y val = 127
78321,-0.081081,0.028571, x val = 128, y val = 127
78336,-0.081081,0.028571, x val = 128, y val = 127
78351,-0.081081,0.028571, x val = 128, y val = 127
78366,-0.081081,0.028571, x val = 128, y val = 127
78381,-0.081081,0.028571, x val = 128, y val = 127
78396,-0.081081,0.028571, x val = 128, y val = 127
78411,-0.081081,0.028571, x val = 128, y val = 127
78426,-0.081081,0.028571, x val = 128, y val = 127
78441,-0.081081,0.028571, x val = 128, y val = 127
78456,-0.081081,0.028571, x val = 128, y val = 127
78471,-0.081081,0.028571, x val = 128, y val = 127
78486,-0.081081,0.028571, x val = 128, y val = 127
78501,-0.081081,0.028571, x val = 128, y val = 127
78516,-0.081081,0.028571, x val = 128, y val = 127
78531,-0.081081,0.028571, x val = 128, y val = 127
78546,-0.081081,0.028571, x val = 128, y val = 127
