
100357,0.027027,0.028571, x val = 130, y val = 127
100372,0.027027,0.028571, x val = 130, y val = 127
100387,0.027027,0.028571, x val = 130, y val = 127
100402,0.027027,0.028571, x val = 130, y val = 127
100417,0.027027,0.028571, x val = 130, y val = 127
100432,0.027027,0.028571, x val = 130, y val = 127
100447,0.027027,0.028571, x val = 130, y val = 127
100462,0.027027,0.028571, x val = 130, y val = 127
100477,0.027027,0.028571, x val = 130, y val = 127
100492,0.027027,0.028571, x val = 130, y val = 127
100507,0.027027,0.028571, x val = 130, y val = 127
100522,0.027027,0.028571, x val = 130, y val = 127
100537,0.027027,0.028571, x val = 130, y val = 127
100552,0.027027,0.028571, x val = 130, y val = 127
100567,0.027027,0.028571, x val = 130, y val = 127
100582,0.027027,0.028571, x val = 130, y val = 127
100597,0.027027,0.028571, x val = 130, y val = 127
100612,0.027027,0.028571, x val = 130, y val = 127
100627,0.027027,0.028571, x val = 130, y val = 127
100642,0.027027,0.028571, x val = 130, y val = 127
100657,0.027027,0.028571, x val = 130, y val = 127
100672,0.027027,0.028571, x val = 130, y val = 127
100687,0.027027,0.028571, x val = 130, y val = 127
100702,0.027027,0.028571, x val = 130, y val = 127
100717,0.027027,0.028571, x val = 130, y val = 127
100732,0.027027,0.028571, x val = 130, y val = 127
100747,0.027027,0.028571, x val = 130, y val = 127
100762,0.027027,0.028571, x val = 130, y val = 127
100777,0.027027,0.028571, x val = 130, y val = 127
100792,0.027027,0.028571, x val = 130, y val = 127
100807,0.027027,0.028571, x val = 130, y val = 127
100822,0.027027,0.028571, x val = 130, y val = 127
100837,0.027027,0.028571, x val = 130, y val = 127
100852,0.027027,0.028571, x val = 130, y val = 127
100867,0.027027,0.028571, x val = 130, y val = 127
100882,0.027027,0.028571, x val = 130, y val = 127
100897,0.027027,0.028571, x val = 130, y val = 127
100912,0.027027,0.028571, x val = 130, y val = 127
100927,0.027027,0.028571, x val = 130, y val = 127
100942,0.027027,0.028571, x val = 130, y val = 127
100957,0.027027,0.028571, x val = 130, y val = 127
100973,0.027027,0.028571, x val = 130, y val = 127
100988,0.027027,0.028571, x val = 130, y val = 127
101003,0.027027,0.028571, x val = 130, y val = 127
101018,0.027027,0.028571, x val = 130, y val = 127
101033,0.027027,0.028571, x val = 130, y val = 127
101048,0.027027,0.028571, x val = 130, y val = 127
101064,0.027027,0.028571, x val = 130, y val = 127
101079,0.027027,0.028571, x val = 130, y val = 127
101094,0.027027,0.028571, x val = 130, y val = 127
101109,0.027027,0.028571, x val = 130, y val = 127
101124,0.027027,0.028571, x val = 130, y val = 127
101139,0.027027,0.028571, x val = 130, y val = 127
101155,0.027027,0.028571, x val = 130, y val = 127
101170,0.027027,0.028571, x val = 130, y val = 127
101185,0.027027,0.028571, x val = 130, y val = 127
101200,0.027027,0.028571, x val = 130, y val = 127
101215,0.027027,0.028571, x val = 130, y val = 127
101230,0.027027,0.028571, x val = 130, y val = 127
101246,0.027027,0.028571, x val = 130, y val = 127
101261,0.027027,0.028571, x val = 130, y val = 127
101276,0.027027,0.028571, x val = 130, y val = 127
101291,0.027027,0.028571, x val = 130, y val = 127
101306,0.027027,0.028571, x val = 130, y val = 127
101321,0.027027,0.028571, x val = 130, y val = 127
101337,0.027027,0.028571, x val = 130, y val = 127
