47065,0.708333,0.380952, x val = 130, y val = 141
47080,0.708333,0.380952, x val = 130, y val = 141
47095,0.708333,0.380952, x val = 130, y val = 141
47110,0.708333,0.380952, x val = 130, y val = 141
47125,0.708333,0.380952, x val = 130, y val = 141
47140,0.708333,0.380952, x val = 130, y val = 141
47155,0.708333,0.380952, x val = 130, y val = 141
47170,0.708333,0.380952, x val = 130, y val = 141
47185,0.708333,0.380952, x val = 130, y val = 141
47200,0.708333,0.380952, x val = 130, y val = 141
47215,0.708333,0.380952, x val = 130, y val = 141
47230,0.708333,0.380952, x val = 130, y val = 141
47245,0.708333,0.380952, x val = 130, y val = 141
47260,0.708333,0.380952, x val = 130, y val = 141
47275,0.708333,0.380952, x val = 130, y val = 141
47290,0.708333,0.380952, x val = 130, y val = 141
47305,0.708333,0.380952, x val = 130, y val = 141
47320,0.708333,0.380952, x val = 130, y val = 141
47335,0.708333,0.380952, x val = 130, y val = 141
47350,0.708333,0.380952, x val = 130, y val = 141
47365,0.708333,0.380952, x val = 130, y val = 141
47380,0.708333,0.380952, x val = 130, y val = 141
47395,0.708333,0.380952, x val = 130, y val = 141
47410,0.708333,0.380952, x val = 130, y val = 141
47425,0.708333,0.380952, x val = 130, y val = 141
47440,0.708333,0.380952, x val = 130, y val = 141
47455,0.708333,0.380952, x val = 130, y val = 141
47470,0.708333,0.380952, x val = 130, y val = 141
47485,0.708333,0.380952, x val = 130, y val = 141
47500,0.708333,0.380952, x val = 130, y val = 141
47515,0.708333,0.380952, x val = 130, y val = 141
47530,0.708333,0.380952, x val = 130, y val = 141
47545,0.708333,0.380952, x val = 130, y val = 141
47560,0.708333,0.380952, x val = 130, y val = 141
47575,0.708333,0.380952, x val = 130, y val = 141
47590,0.708333,0.380952, x val = 130, y val = 141
47605,0.708333,0.380952, x val = 130, y val = 141
47620,0.708333,0.380952, x val = 130, y val = 141
47635,0.708333,0.380952, x val = 130, y val = 141
47650,0.708333,0.380952, x val = 130, y val = 141
47665,0.708333,0.380952, x val = 130, y val = 141
47680,0.708333,0.380952, x val = 130, y val = 141
47695,0.708333,0.380952, x val = 130, y val = 141
47710,0.708333,0.380952, x val = 130, y val = 141
47725,0.708333,0.380952, x val = 130, y val = 141
47740,0.708333,0.380952, x val = 130, y val = 141
47755,0.708333,0.380952, x val = 130, y val = 141
47770,0.708333,0.380952, x val = 130, y val = 141
47785,0.708333,0.380952, x val = 130, y val = 141
47800,0.708333,0.380952, x val = 130, y val = 141
47815,0.708333,0.380952, x val = 130, y val = 141
47830,0.708333,0.380952, x val = 130, y val = 141
47845,0.708333,0.380952, x val = 130, y val = 141
47860,0.708333,0.380952, x val = 130, y val = 141
47875,0.708333,0.380952, x val = 130, y val = 141
