
72809,0.734694,-0.333333, x val = 133, y val = 126
72824,0.734694,-0.333333, x val = 133, y val = 126
72840,0.734694,-0.333333, x val = 133, y val = 126
72855,0.734694,-0.333333, x val = 133, y val = 126
72870,0.734694,-0.333333, x val = 133, y val = 126
72886,0.734694,-0.333333, x val = 133, y val = 126
72901,0.734694,-0.333333, x val = 133, y val = 126
72916,0.734694,-0.333333, x val = 133, y val = 126
72932,0.734694,-0.333333, x val = 133, y val = 126
72947,0.734694,-0.333333, x val = 133, y val = 126
72962,0.734694,-0.333333, x val = 133, y val = 126
72978,0.734694,-0.333333, x val = 133, y val = 126
72993,0.734694,-0.333333, x val = 133, y val = 126
73008,0.734694,-0.333333, x val = 133, y val = 126
73024,0.734694,-0.333333, x val = 133, y val = 126
73039,0.734694,-0.333333, x val = 133, y val = 126
73054,0.734694,-0.333333, x val = 133, y val = 126
73070,0.734694,-0.333333, x val = 133, y val = 126
73085,0.734694,-0.333333, x val = 133, y val = 126
73100,0.734694,-0.333333, x val = 133, y val = 126
73116,0.734694,-0.333333, x val = 133, y val = 126
73131,0.734694,-0.333333, x val = 133, y val = 126
73146,0.734694,-0.333333, x val = 133, y val = 126
73162,0.734694,-0.333333, x val = 133, y val = 126
73177,0.734694,-0.333333, x val = 133, y val = 126
73192,0.734694,-0.333333, x val = 133, y val = 126
73208,0.734694,-0.333333, x val = 133, y val = 126
73223,0.734694,-0.333333, x val = 133, y val = 126
73238,0.734694,-0.333333, x val = 133, y val = 126
73254,0.734694,-0.333333, x val = 133, y val = 126
73269,0.734694,-0.333333, x val = 133, y val = 126
73284,0.734694,-0.333333, x val = 133, y val = 126
73300,0.734694,-0.333333, x val = 133, y val = 126
73315,0.734694,-0.333333, x val = 133, y val = 126
73330,0.734694,-0.333333, x val = 133, y val = 126
73346,0.734694,-0.333333, x val = 133, y val = 126
73361,0.734694,-0.333333, x val = 133, y val = 126
73376,0.734694,-0.333333, x val = 133, y val = 126
73392,0.734694,-0.333333, x val = 133, y val = 126
73407,0.734694,-0.333333, x val = 133, y val = 126
73422,0.734694,-0.333333, x val = 133, y val = 126
73438,0.734694,-0.333333, x val = 133, y val = 126
73453,0.734694,-0.333333, x val = 133, y val = 126
73468,0.734694,-0.333333, x val = 133, y val = 126
73484,0.734694,-0.333333, x val = 133, y val = 126
73499,0.734694,-0.333333, x val = 133, y val = 126
73514,0.734694,-0.333333, x val = 133, y val = 126
73530,0.734694,-0.333333, x val = 133, y val = 126
73545,0.734694,-0.333333, x val = 133, y val = 126
73560,0.734694,-0.333333, x val = 133, y val = 126
73576,0.734694,-0.333333, x val = 133, y val = 126
73591,0.734694,-0.333333, x val = 133, y val = 126
73606,0.734694,-0.333333, x val = 133, y val = 126
73622,0.734694,-0.333333, x val = 133, y val = 126
73637,0.734694,-0.333333, x val = 133, y val = 126
73652,0.734694,-0.333333, x val = 133, y val = 126
73668,0.734694,-0.333333, x val = 133, y val = 126
73683,0.734694,-0.333333, x val = 133, y val = 126
73698,0.734694,-0.333333, x val = 133, y val = 126
73714,0.734694,-0.333333, x val = 133, y val = 126
73729,0.734694,-0.333333, x val = 133, y val = 126
73744,0.734694,-0.333333, x val = 133, y val = 126
73760,0.734694,-0.333333, x val = 133, y val = 126
73775,0.734694,-0.333333, x val = 133, y val = 126
73790,0.734694,-0.333333, x val = 133, y val = 126
73806,0.734694,-0.333333, x val = 133, y val = 126
73821,0.734694,-0.333333, x val = 133, y val = 126
73836,0.734694,-0.333333, x val = 133, y val = 126
73852,0.734694,-0.333333, x val = 133, y val = 126
73867,0.734694,-0.333333, x val = 133, y val = 126
73882,0.734694,-0.333333, x val = 133, y val = 126
73898,0.734694,-0.333333, x val = 133, y val = 126
73913,0.734694,-0.333333, x val = 133, y val = 126
73928,0.734694,-0.333333, x val = 133, y val = 126
73944,0.734694,-0.333333, x val = 133, y val = 126
73959,0.734694,-0.333333, x val = 133, y val = 126
73974,0.734694,-0.333333, x val = 133, y val = 126
73990,0.734694,-0.333333, x val = 133, y val = 126
74005,0.734694,-0.333333, x val = 133, y val = 126
74020,0.734694,-0.333333, x val = 133, y val = 126
74036,0.734694,-0.333333, x val = 133, y val = 126
74051,0.734694,-0.333333, x val = 133, y val = 126
74066,0.734694,-0.333333, x val = 133, y val = 126
74082,0.734694,-0.333333, x val = 133, y val = 126
74097,0.734694,-0.333333, x val = 133, y val = 126
74112,0.734694,-0.333333, x val = 133, y val = 126
74128,0.734694,-0.333333, x val = 133, y val = 126
74143,0.734694,-0.333333, x val = 133, y val = 126
74159,0.734694,-0.333333, x val = 133, y val = 126
74174,0.734694,-0.333333, x val = 133, y val = 126
74189,0.734694,-0.333333, x val = 133, y val = 126
74205,0.734694,-0.333333, x val = 133, y val = 126
74220,0.734694,-0.333333, x val = 133, y val = 126
74235,0.734694,-0.333333, x val = 133, y val = 126
74251,0.734694,-0.333333, x val = 133, y val = 126
74266,0.734694,-0.333333, x val = 133, y val = 126
74281,0.734694,-0.285714, x val = 133, y val = 127
74297,0.734694,-0.285714, x val = 133, y val = 127
74312,0.714286,-0.190476, x val = 132, y val = 129
74327,0.693878,-0.095238, x val = 131, y val = 131
74342,0.693878,0.000000, x val = 131, y val = 133
74357,0.673469,0.047619, x val = 130, y val = 134
74372,0.673469,0.095238, x val = 130, y val = 135
74387,0.673469,0.190476, x val = 130, y val = 137
74402,0.673469,0.190476, x val = 130, y val = 137
74417,0.673469,0.190476, x val = 130, y val = 137
74432,0.673469,0.238095, x val = 130, y val = 138
74447,0.673469,0.238095, x val = 130, y val = 138
74462,0.673469,0.238095, x val = 130, y val = 138
74477,0.673469,0.285714, x val = 130, y val = 139
74492,0.693878,0.285714, x val = 131, y val = 139
74507,0.693878,0.285714, x val = 131, y val = 139
74522,0.693878,0.333333, x val = 131, y val = 140
74537,0.714286,0.333333, x val = 132, y val = 140
74552,0.714286,0.333333, x val = 132, y val = 140
74567,0.714286,0.380952, x val = 132, y val = 141
