
17794,0.676768,0.000000, x val = 128, y val = 128
17809,0.676768,0.000000, x val = 128, y val = 128
17824,0.676768,0.000000, x val = 128, y val = 128
17839,0.676768,0.000000, x val = 128, y val = 128
17854,0.676768,0.000000, x val = 128, y val = 128
17869,0.676768,0.000000, x val = 128, y val = 128
17884,0.676768,0.000000, x val = 128, y val = 128
17899,0.676768,0.000000, x val = 128, y val = 128
17914,0.676768,0.000000, x val = 128, y val = 128
17929,0.676768,0.000000, x val = 128, y val = 128
17944,0.676768,0.000000, x val = 128, y val = 128
17959,0.676768,0.000000, x val = 128, y val = 128
17974,0.676768,0.000000, x val = 128, y val = 128
17989,0.676768,0.000000, x val = 128, y val = 128
18004,0.676768,0.000000, x val = 128, y val = 128
18019,0.676768,0.000000, x val = 128, y val = 128
18034,0.676768,0.000000, x val = 128, y val = 128
18049,0.676768,0.000000, x val = 128, y val = 128
18064,0.676768,0.000000, x val = 128, y val = 128
18079,0.676768,0.000000, x val = 128, y val = 128
18094,0.676768,0.000000, x val = 128, y val = 128
18109,0.676768,0.000000, x val = 128, y val = 128
18124,0.676768,0.000000, x val = 128, y val = 128
18139,0.676768,0.000000, x val = 128, y val = 128
18154,0.676768,0.000000, x val = 128, y val = 128
18169,0.676768,0.000000, x val = 128, y val = 128
18184,0.676768,0.000000, x val = 128, y val = 128
18199,0.676768,0.000000, x val = 128, y val = 128
18214,0.676768,0.000000, x val = 128, y val = 128
18229,0.676768,0.000000, x val = 128, y val = 128
18244,0.676768,0.000000, x val = 128, y val = 128
18259,0.676768,0.000000, x val = 128, y val = 128
18274,0.676768,0.000000, x val = 128, y val = 128
18289,0.676768,0.000000, x val = 128, y val = 128
18304,0.676768,0.000000, x val = 128, y val = 128
18319,0.676768,0.000000, x val = 128, y val = 128
18334,0.676768,0.000000, x val = 128, y val = 128
18349,0.676768,0.000000, x val = 128, y val = 128
18364,0.676768,0.000000, x val = 128, y val = 128
18379,0.676768,0.000000, x val = 128, y val = 128
18394,0.676768,0.000000, x val = 128, y val = 128
18409,0.676768,0.000000, x val = 128, y val = 128
18424,0.676768,0.000000, x val = 128, y val = 128
18439,0.676768,0.000000, x val = 128, y val = 128
18454,0.676768,0.000000, x val = 128, y val = 128
18469,0.676768,0.000000, x val = 128, y val = 128
18484,0.676768,0.000000, x val = 128, y val = 128
18499,0.676768,0.000000, x val = 128, y val = 128
18514,0.676768,0.000000, x val = 128, y val = 128
18529,0.676768,0.000000, x val = 128, y val = 128
18544,0.676768,0.000000, x val = 128, y val = 128
18559,0.676768,0.000000, x val = 128, y val = 128
18574,0.676768,0.000000, x val = 128, y val = 128
18589,0.676768,0.000000, x val = 128, y val = 128
18604,0.676768,0.000000, x val = 128, y val = 128
18619,0.676768,0.000000, x val = 128, y val = 128
18634,0.676768,0.000000, x val = 128, y val = 128
18649,0.676768,0.000000, x val = 128, y val = 128
18664,0.676768,0.000000, x val = 128, y val = 128
18679,0.676768,0.000000, x val = 128, y val = 128
18694,0.676768,0.000000, x val = 128, y val = 128
18709,0.676768,0.000000, x val = 128, y val = 128
18724,0.676768,0.000000, x val = 128, y val = 128
18739,0.676768,0.000000, x val = 128, y val = 128
18754,0.676768,0.000000, x val = 128, y val = 128
18769,0.676768,0.000000, x val = 128, y val = 128
18784,0.676768,0.000000, x val = 128, y val = 128
18799,0.676768,0.000000, x val = 128, y val = 128
18814,0.676768,0.000000, x val = 128, y val = 128
18829,0.676768,0.000000, x val = 128, y val = 128
18844,0.676768,0.000000, x val = 128, y val = 128
18859,0.676768,0.000000, x val = 128, y val = 128
18874,0.676768,0.000000, x val = 128, y val = 128
18889,0.676768,0.000000, x val = 128, y val = 128
18904,0.676768,0.000000, x val = 128, y val = 128
18919,0.676768,0.000000, x val = 128, y val = 128
18934,0.676768,0.000000, x val = 128, y val = 128
18949,0.676768,0.000000, x val = 128, y val = 128
18964,0.676768,0.000000, x val = 128, y val = 128
18979,0.676768,0.000000, x val = 128, y val = 128
18994,0.676768,0.000000, x val = 128, y val = 128
19009,0.676768,0.000000, x val = 128, y val = 128
19024,0.676768,0.000000, x val = 128, y val = 128
19039,0.676768,0.000000, x val = 128, y val = 128
19054,0.676768,0.000000, x val = 128, y val = 128
19069,0.676768,0.000000, x val = 128, y val = 128
19084,0.676768,0.000000, x val = 128, y val = 128
19099,0.676768,0.000000, x val = 128, y val = 128
19114,0.676768,0.000000, x val = 128, y val = 128
19129,0.676768,0.000000, x val = 128, y val = 128
19144,0.676768,0.000000, x val = 128, y val = 128
19159,0.676768,0.000000, x val = 128, y val = 128
19174,0.676768,0.000000, x val = 128, y val = 128
19189,0.676768,0.000000, x val = 128, y val = 128
19204,0.676768,0.000000, x val = 128, y val = 128
19219,0.676768,0.000000, x val = 128, y val = 128
19234,0.676768,0.000000, x val = 128, y val = 128
19249,0.676768,0.000000, x val = 128, y val = 128
19264,0.676768,0.000000, x val = 128, y val = 128
19279,0.676768,0.000000, x val = 128, y val = 128
19294,0.676768,0.000000, x val = 128, y val = 128
19309,0.676768,0.000000, x val = 128, y val = 128
19324,0.676768,0.000000, x val = 128, y val = 128
19339,0.676768,0.000000, x val = 128, y val = 128
19354,0.676768,0.000000, x val = 128, y val = 128
19369,0.676768,0.000000, x val = 128, y val = 128
19384,0.676768,0.000000, x val = 128, y val = 128
19399,0.676768,0.000000, x val = 128, y val = 128
19414,0.676768,0.000000, x val = 128, y val = 128
19429,0.676768,0.000000, x val = 128, y val = 128
19444,0.676768,0.000000, x val = 128, y val = 128
19459,0.676768,0.000000, x val = 128, y val = 128
19474,0.676768,0.000000, x val = 128, y val = 128
19489,0.676768,0.000000, x val = 128, y val = 128
19504,0.676768,0.000000, x val = 128, y val = 128
19519,0.676768,0.000000, x val = 128, y val = 128
19534,0.676768,0.000000, x val = 128, y val = 128
19549,0.676768,0.000000, x val = 128, y val = 128
19564,0.676768,0.062500, x val = 128, y val = 129
19579,0.676768,0.062500, x val = 128, y val = 129
19594,0.676768,0.062500, x val = 128, y val = 129
19609,0.676768,0.062500, x val = 128, y val = 129
19624,0.676768,0.062500, x val = 128, y val = 129
19639,0.676768,0.125000, x val = 128, y val = 130
19654,0.676768,0.125000, x val = 128, y val = 130
19669,0.676768,0.187500, x val = 128, y val = 131
19684,0.676768,0.250000, x val = 128, y val = 132
19699,0.676768,0.312500, x val = 128, y val = 133
19714,0.676768,0.375000, x val = 128, y val = 134
19729,0.676768,0.500000, x val = 128, y val = 136
19744,0.676768,0.562500, x val = 128, y val = 137
19759,0.676768,0.562500, x val = 128, y val = 137
19774,0.676768,0.562500, x val = 128, y val = 137
19789,0.676768,0.625000, x val = 128, y val = 138
19804,0.676768,0.625000, x val = 128, y val = 138
19819,0.676768,0.625000, x val = 128, y val = 138
19834,0.676768,0.625000, x val = 128, y val = 138
19849,0.676768,0.625000, x val = 128, y val = 138
19864,0.676768,0.625000, x val = 128, y val = 138
19879,0.676768,0.625000, x val = 128, y val = 138
19894,0.676768,0.625000, x val = 128, y val = 138
19909,0.676768,0.687500, x val = 128, y val = 139
19924,0.676768,0.687500, x val = 128, y val = 139
19939,0.676768,0.687500, x val = 128, y val = 139
19954,0.676768,0.687500, x val = 128, y val = 139
19969,0.676768,0.687500, x val = 128, y val = 139
19984,0.676768,0.687500, x val = 128, y val = 139
19999,0.676768,0.687500, x val = 128, y val = 139
20014,0.676768,0.687500, x val = 128, y val = 139
20029,0.676768,0.687500, x val = 128, y val = 139
20044,0.676768,0.687500, x val = 128, y val = 139
20059,0.676768,0.687500, x val = 128, y val = 139
20074,0.676768,0.687500, x val = 128, y val = 139
20089,0.676768,0.687500, x val = 128, y val = 139
20104,0.676768,0.687500, x val = 128, y val = 139
20119,0.676768,0.687500, x val = 128, y val = 139
20134,0.676768,0.687500, x val = 128, y val = 139
20149,0.676768,0.687500, x val = 128, y val = 139
20164,0.676768,0.687500, x val = 128, y val = 139
20179,0.676768,0.687500, x val = 128, y val = 139
20194,0.676768,0.687500, x val = 128, y val = 139
20209,0.676768,0.687500, x val = 128, y val = 139
20224,0.676768,0.687500, x val = 128, y val = 139
20239,0.676768,0.687500, x val = 128, y val = 139
20254,0.676768,0.687500, x val = 128, y val = 139
20269,0.676768,0.687500, x val = 128, y val = 139
20284,0.676768,0.687500, x val = 128, y val = 139
20299,0.676768,0.687500, x val = 128, y val = 139
20314,0.676768,0.687500, x val = 128, y val = 139
20329,0.676768,0.687500, x val = 128, y val = 139
20344,0.676768,0.687500, x val = 128, y val = 139
20359,0.676768,0.687500, x val = 128, y val = 139
20374,0.676768,0.687500, x val = 128, y val = 139
20389,0.676768,0.250000, x val = 128, y val = 132
20404,0.676768,-0.062500, x val = 128, y val = 127
20419,0.676768,-0.062500, x val = 128, y val = 127
20434,0.676768,-0.062500, x val = 128, y val = 127
20449,0.676768,-0.062500, x val = 128, y val = 127
20464,0.676768,-0.062500, x val = 128, y val = 127
20479,0.676768,-0.062500, x val = 128, y val = 127
20494,0.676768,-0.062500, x val = 128, y val = 127
20509,0.676768,-0.062500, x val = 128, y val = 127
20524,0.676768,-0.062500, x val = 128, y val = 127
20539,0.676768,-0.062500, x val = 128, y val = 127
20554,0.676768,-0.062500, x val = 128, y val = 127
20569,0.676768,-0.062500, x val = 128, y val = 127
20584,0.676768,-0.062500, x val = 128, y val = 127
20599,0.676768,-0.062500, x val = 128, y val = 127
20614,0.676768,-0.062500, x val = 128, y val = 127
20629,0.676768,-0.062500, x val = 128, y val = 127
20644,0.676768,-0.062500, x val = 128, y val = 127
20659,0.676768,-0.062500, x val = 128, y val = 127
20674,0.676768,-0.062500, x val = 128, y val = 127
20689,0.676768,-0.062500, x val = 128, y val = 127
20704,0.676768,-0.062500, x val = 128, y val = 127
20719,0.676768,-0.062500, x val = 128, y val = 127
20734,0.676768,-0.062500, x val = 128, y val = 127
20749,0.676768,-0.062500, x val = 128, y val = 127
20764,0.676768,-0.062500, x val = 128, y val = 127
20779,0.676768,-0.062500, x val = 128, y val = 127
20794,0.676768,-0.062500, x val = 128, y val = 127
20809,0.676768,-0.062500, x val = 128, y val = 127
20824,0.676768,-0.062500, x val = 128, y val = 127
20839,0.676768,-0.062500, x val = 128, y val = 127
20854,0.676768,-0.062500, x val = 128, y val = 127
20869,0.676768,-0.062500, x val = 128, y val = 127
20884,0.676768,-0.062500, x val = 128, y val = 127
20899,0.676768,-0.062500, x val = 128, y val = 127
20914,0.676768,-0.062500, x val = 128, y val = 127
20929,0.676768,-0.062500, x val = 128, y val = 127
20944,0.676768,-0.062500, x val = 128, y val = 127
20959,0.676768,-0.062500, x val = 128, y val = 127
20974,0.676768,-0.062500, x val = 128, y val = 127
20989,0.676768,-0.062500, x val = 128, y val = 127
21004,0.676768,-0.062500, x val = 128, y val = 127
21019,0.676768,-0.062500, x val = 128, y val = 127
21034,0.676768,-0.062500, x val = 128, y val = 127
21049,0.676768,-0.062500, x val = 128, y val = 127
21064,0.676768,-0.062500, x val = 128, y val = 127
21079,0.676768,-0.062500, x val = 128, y val = 127
21094,0.676768,-0.062500, x val = 128, y val = 127
21109,0.676768,-0.062500, x val = 128, y val = 127
21124,0.676768,-0.062500, x val = 128, y val = 127
21139,0.676768,-0.062500, x val = 128, y val = 127
21154,0.676768,-0.062500, x val = 128, y val = 127
21169,0.676768,-0.062500, x val = 128, y val = 127
21184,0.676768,-0.062500, x val = 128, y val = 127
21199,0.676768,-0.062500, x val = 128, y val = 127
21214,0.676768,-0.062500, x val = 128, y val = 127
21229,0.676768,-0.062500, x val = 128, y val = 127
21244,0.676768,-0.062500, x val = 128, y val = 127
21259,0.676768,-0.062500, x val = 128, y val = 127
21274,0.676768,-0.062500, x val = 128, y val = 127
21289,0.676768,-0.062500, x val = 128, y val = 127
21304,0.676768,-0.062500, x val = 128, y val = 127
21319,0.676768,-0.062500, x val = 128, y val = 127
21334,0.676768,-0.062500, x val = 128, y val = 127
21349,0.676768,-0.062500, x val = 128, y val = 127
21364,0.676768,-0.062500, x val = 128, y val = 127
21379,0.676768,-0.062500, x val = 128, y val = 127
21394,0.676768,-0.062500, x val = 128, y val = 127
21409,0.676768,0.000000, x val = 128, y val = 128
21424,0.676768,0.000000, x val = 128, y val = 128
21439,0.676768,0.062500, x val = 128, y val = 129
21454,0.676768,0.062500, x val = 128, y val = 129
21469,0.676768,0.125000, x val = 128, y val = 130
21484,0.717172,0.312500, x val = 130, y val = 133
21499,0.737374,0.375000, x val = 131, y val = 134
21514,0.737374,0.375000, x val = 131, y val = 134
21529,0.737374,0.375000, x val = 131, y val = 134
21544,0.777778,0.375000, x val = 133, y val = 134
21559,0.777778,0.437500, x val = 133, y val = 135
21574,0.797980,0.437500, x val = 134, y val = 135
21589,0.797980,0.437500, x val = 134, y val = 135
21604,0.797980,0.437500, x val = 134, y val = 135
21619,0.797980,0.437500, x val = 134, y val = 135
21634,0.797980,0.437500, x val = 134, y val = 135
21649,0.797980,0.437500, x val = 134, y val = 135
21664,0.818182,0.437500, x val = 135, y val = 135
21679,0.818182,0.437500, x val = 135, y val = 135
21694,0.818182,0.437500, x val = 135, y val = 135
21709,0.818182,0.437500, x val = 135, y val = 135
21724,0.818182,0.437500, x val = 135, y val = 135
21739,0.818182,0.437500, x val = 135, y val = 135
21754,0.818182,0.437500, x val = 135, y val = 135
21769,0.818182,0.437500, x val = 135, y val = 135
21784,0.818182,0.500000, x val = 135, y val = 136
21799,0.818182,0.500000, x val = 135, y val = 136
21814,0.818182,0.500000, x val = 135, y val = 136
21829,0.818182,0.500000, x val = 135, y val = 136
21844,0.838384,0.500000, x val = 136, y val = 136
21859,0.838384,0.500000, x val = 136, y val = 136
21874,0.838384,0.500000, x val = 136, y val = 136
21889,0.838384,0.500000, x val = 136, y val = 136
