20596,0.673469,-0.125000, x val = 128, y val = 126
20611,0.673469,-0.125000, x val = 128, y val = 126
20626,0.673469,-0.125000, x val = 128, y val = 126
20641,0.673469,-0.125000, x val = 128, y val = 126
20656,0.673469,-0.125000, x val = 128, y val = 126
20671,0.673469,-0.125000, x val = 128, y val = 126
20686,0.673469,-0.125000, x val = 128, y val = 126
20701,0.673469,-0.125000, x val = 128, y val = 126
20716,0.673469,-0.125000, x val = 128, y val = 126
20731,0.673469,-0.125000, x val = 128, y val = 126
20746,0.673469,-0.125000, x val = 128, y val = 126
20761,0.673469,-0.125000, x val = 128, y val = 126
20776,0.673469,-0.125000, x val = 128, y val = 126
20791,0.673469,-0.125000, x val = 128, y val = 126
20806,0.673469,-0.125000, x val = 128, y val = 126
20821,0.673469,-0.125000, x val = 128, y val = 126
20836,0.673469,-0.125000, x val = 128, y val = 126
20851,0.673469,-0.125000, x val = 128, y val = 126
20866,0.673469,-0.125000, x val = 128, y val = 126
20881,0.673469,-0.125000, x val = 128, y val = 126
20896,0.673469,-0.125000, x val = 128, y val = 126
20911,0.673469,-0.125000, x val = 128, y val = 126
20926,0.673469,-0.125000, x val = 128, y val = 126
20941,0.673469,-0.125000, x val = 128, y val = 126
20956,0.673469,-0.125000, x val = 128, y val = 126
20971,0.673469,-0.125000, x val = 128, y val = 126
20986,0.673469,-0.125000, x val = 128, y val = 126
21001,0.673469,-0.125000, x val = 128, y val = 126
21016,0.673469,-0.125000, x val = 128, y val = 126
21031,0.673469,-0.125000, x val = 128, y val = 126
21046,0.673469,-0.125000, x val = 128, y val = 126
21061,0.673469,-0.125000, x val = 128, y val = 126
21076,0.673469,-0.125000, x val = 128, y val = 126
21091,0.673469,-0.125000, x val = 128, y val = 126
21106,0.673469,-0.125000, x val = 128, y val = 126
21121,0.673469,-0.125000, x val = 128, y val = 126
21136,0.673469,-0.125000, x val = 128, y val = 126
21151,0.673469,-0.125000, x val = 128, y val = 126
21166,0.673469,-0.125000, x val = 128, y val = 126
21181,0.673469,-0.125000, x val = 128, y val = 126
21196,0.673469,-0.125000, x val = 128, y val = 126
21211,0.673469,-0.125000, x val = 128, y val = 126
21226,0.673469,-0.125000, x val = 128, y val = 126
21241,0.673469,-0.125000, x val = 128, y val = 126
21256,0.673469,-0.125000, x val = 128, y val = 126
21271,0.673469,-0.125000, x val = 128, y val = 126
21286,0.673469,-0.125000, x val = 128, y val = 126
21301,0.673469,-0.125000, x val = 128, y val = 126
21316,0.673469,-0.125000, x val = 128, y val = 126
21331,0.673469,-0.125000, x val = 128, y val = 126
21346,0.673469,-0.125000, x val = 128, y val = 126
21361,0.673469,-0.125000, x val = 128, y val = 126
21376,0.673469,-0.125000, x val = 128, y val = 126
21391,0.673469,-0.125000, x val = 128, y val = 126
21406,0.673469,-0.125000, x val = 128, y val = 126
21421,0.673469,-0.125000, x val = 128, y val = 126
21436,0.673469,-0.125000, x val = 128, y val = 126
21451,0.673469,-0.125000, x val = 128, y val = 126
21466,0.673469,-0.125000, x val = 128, y val = 126
21481,0.673469,-0.125000, x val = 128, y val = 126
21496,0.673469,-0.125000, x val = 128, y val = 126
21511,0.673469,-0.125000, x val = 128, y val = 126
21526,0.673469,-0.125000, x val = 128, y val = 126
21541,0.673469,-0.125000, x val = 128, y val = 126
21556,0.673469,-0.125000, x val = 128, y val = 126
21571,0.673469,-0.125000, x val = 128, y val = 126
21586,0.673469,-0.125000, x val = 128, y val = 126
21601,0.673469,-0.125000, x val = 128, y val = 126
21616,0.673469,-0.125000, x val = 128, y val = 126
21631,0.673469,-0.125000, x val = 128, y val = 126
21646,0.673469,-0.125000, x val = 128, y val = 126
21661,0.673469,-0.125000, x val = 128, y val = 126
21676,0.673469,-0.125000, x val = 128, y val = 126
21691,0.673469,-0.125000, x val = 128, y val = 126
21706,0.673469,-0.125000, x val = 128, y val = 126
21721,0.673469,-0.125000, x val = 128, y val = 126
21736,0.673469,-0.125000, x val = 128, y val = 126
21751,0.673469,-0.125000, x val = 128, y val = 126
21766,0.673469,-0.125000, x val = 128, y val = 126
21781,0.673469,-0.125000, x val = 128, y val = 126
21796,0.673469,-0.125000, x val = 128, y val = 126
21811,0.673469,-0.125000, x val = 128, y val = 126
21826,0.673469,-0.125000, x val = 128, y val = 126
21841,0.673469,-0.125000, x val = 128, y val = 126
21856,0.673469,-0.125000, x val = 128, y val = 126
21871,0.673469,-0.125000, x val = 128, y val = 126
21886,0.673469,-0.125000, x val = 128, y val = 126
21901,0.673469,-0.125000, x val = 128, y val = 126
21916,0.673469,-0.125000, x val = 128, y val = 126
21931,0.673469,-0.125000, x val = 128, y val = 126
21946,0.673469,-0.125000, x val = 128, y val = 126
21961,0.673469,-0.125000, x val = 128, y val = 126
21976,0.673469,-0.125000, x val = 128, y val = 126
21991,0.673469,-0.125000, x val = 128, y val = 126
22006,0.673469,-0.125000, x val = 128, y val = 126
22021,0.673469,-0.125000, x val = 128, y val = 126
22036,0.673469,-0.125000, x val = 128, y val = 126
22051,0.673469,-0.125000, x val = 128, y val = 126
22066,0.673469,-0.125000, x val = 128, y val = 126
22081,0.673469,-0.125000, x val = 128, y val = 126
22096,0.673469,-0.125000, x val = 128, y val = 126
22111,0.673469,-0.125000, x val = 128, y val = 126
22126,0.673469,-0.125000, x val = 128, y val = 126
22141,0.673469,-0.125000, x val = 128, y val = 126
22156,0.673469,-0.125000, x val = 128, y val = 126
22171,0.673469,-0.125000, x val = 128, y val = 126
22186,0.673469,-0.125000, x val = 128, y val = 126
22201,0.673469,-0.125000, x val = 128, y val = 126
22216,0.673469,-0.125000, x val = 128, y val = 126
22231,0.673469,-0.125000, x val = 128, y val = 126
22246,0.673469,-0.125000, x val = 128, y val = 126
22261,0.673469,-0.125000, x val = 128, y val = 126
22276,0.673469,-0.125000, x val = 128, y val = 126
22291,0.673469,-0.125000, x val = 128, y val = 126
22306,0.673469,-0.125000, x val = 128, y val = 126
22321,0.673469,-0.125000, x val = 128, y val = 126
22336,0.673469,-0.125000, x val = 128, y val = 126
22351,0.673469,-0.125000, x val = 128, y val = 126
22366,0.673469,-0.125000, x val = 128, y val = 126
22381,0.673469,-0.125000, x val = 128, y val = 126
22396,0.673469,-0.125000, x val = 128, y val = 126
22411,0.673469,-0.125000, x val = 128, y val = 126
22426,0.673469,-0.125000, x val = 128, y val = 126
22441,0.673469,-0.125000, x val = 128, y val = 126
22456,0.673469,-0.125000, x val = 128, y val = 126
22471,0.673469,-0.125000, x val = 128, y val = 126
22486,0.673469,-0.125000, x val = 128, y val = 126
22501,0.673469,-0.125000, x val = 128, y val = 126
22516,0.673469,-0.125000, x val = 128, y val = 126
22531,0.673469,-0.125000, x val = 128, y val = 126
22546,0.673469,-0.125000, x val = 128, y val = 126
22561,0.673469,-0.125000, x val = 128, y val = 126
22576,0.673469,-0.125000, x val = 128, y val = 126
22591,0.673469,-0.125000, x val = 128, y val = 126
22606,0.673469,-0.125000, x val = 128, y val = 126
22621,0.673469,-0.125000, x val = 128, y val = 126
22636,0.673469,-0.125000, x val = 128, y val = 126
22651,0.673469,-0.125000, x val = 128, y val = 126
22666,0.673469,-0.125000, x val = 128, y val = 126
22681,0.673469,-0.125000, x val = 128, y val = 126
22696,0.673469,-0.125000, x val = 128, y val = 126
22711,0.673469,-0.125000, x val = 128, y val = 126
22726,0.673469,-0.125000, x val = 128, y val = 126
22741,0.673469,-0.125000, x val = 128, y val = 126
22756,0.673469,-0.125000, x val = 128, y val = 126
22771,0.673469,-0.125000, x val = 128, y val = 126
22786,0.673469,-0.125000, x val = 128, y val = 126
22801,0.673469,-0.125000, x val = 128, y val = 126
22816,0.673469,-0.125000, x val = 128, y val = 126
22831,0.673469,-0.125000, x val = 128, y val = 126
22846,0.673469,-0.125000, x val = 128, y val = 126
22861,0.673469,-0.125000, x val = 128, y val = 126
22876,0.673469,-0.125000, x val = 128, y val = 126
22891,0.673469,-0.125000, x val = 128, y val = 126
22906,0.673469,-0.125000, x val = 128, y val = 126
22921,0.673469,-0.125000, x val = 128, y val = 126
22936,0.673469,-0.125000, x val = 128, y val = 126
22951,0.673469,-0.125000, x val = 128, y val = 126
22966,0.673469,-0.125000, x val = 128, y val = 126
22981,0.673469,-0.125000, x val = 128, y val = 126
