
40051,0.000000,-0.062500, x val = 128, y val = 127
40066,0.000000,-0.062500, x val = 128, y val = 127
40081,0.000000,-0.062500, x val = 128, y val = 127
40096,0.000000,-0.062500, x val = 128, y val = 127
40111,0.000000,-0.062500, x val = 128, y val = 127
40126,0.000000,-0.062500, x val = 128, y val = 127
40141,0.000000,-0.062500, x val = 128, y val = 127
40156,0.000000,-0.062500, x val = 128, y val = 127
40171,0.000000,-0.062500, x val = 128, y val = 127
40186,0.000000,-0.062500, x val = 128, y val = 127
40201,0.000000,-0.062500, x val = 128, y val = 127
40216,0.000000,-0.062500, x val = 128, y val = 127
40231,0.000000,-0.062500, x val = 128, y val = 127
40246,0.000000,-0.062500, x val = 128, y val = 127
40261,0.000000,-0.062500, x val = 128, y val = 127
40276,0.000000,-0.062500, x val = 128, y val = 127
40291,0.000000,-0.062500, x val = 128, y val = 127
40306,0.000000,-0.062500, x val = 128, y val = 127
40321,0.000000,-0.062500, x val = 128, y val = 127
40336,0.000000,-0.062500, x val = 128, y val = 127
40351,0.000000,-0.062500, x val = 128, y val = 127
40366,0.000000,-0.062500, x val = 128, y val = 127
40381,0.000000,-0.062500, x val = 128, y val = 127
40396,0.000000,-0.062500, x val = 128, y val = 127
40411,0.000000,-0.062500, x val = 128, y val = 127
40426,0.000000,-0.062500, x val = 128, y val = 127
40441,0.000000,-0.062500, x val = 128, y val = 127
40456,0.000000,-0.062500, x val = 128, y val = 127
40471,0.000000,-0.062500, x val = 128, y val = 127
40486,0.000000,-0.062500, x val = 128, y val = 127
40501,0.000000,-0.062500, x val = 128, y val = 127
40516,0.000000,-0.062500, x val = 128, y val = 127
40531,0.000000,-0.062500, x val = 128, y val = 127
40546,0.000000,-0.062500, x val = 128, y val = 127
40561,0.000000,-0.062500, x val = 128, y val = 127
40576,0.000000,-0.062500, x val = 128, y val = 127
40591,0.000000,-0.062500, x val = 128, y val = 127
40606,0.000000,-0.062500, x val = 128, y val = 127
40621,0.000000,-0.062500, x val = 128, y val = 127
40636,0.000000,-0.062500, x val = 128, y val = 127
40651,0.000000,-0.062500, x val = 128, y val = 127
40666,0.000000,-0.062500, x val = 128, y val = 127
40681,0.000000,-0.062500, x val = 128, y val = 127
40696,0.000000,-0.062500, x val = 128, y val = 127
40711,0.000000,-0.062500, x val = 128, y val = 127
40726,0.000000,-0.062500, x val = 128, y val = 127
40741,0.000000,-0.062500, x val = 128, y val = 127
40756,0.000000,-0.062500, x val = 128, y val = 127
40771,0.000000,-0.062500, x val = 128, y val = 127
40786,0.000000,-0.062500, x val = 128, y val = 127
40801,0.000000,-0.062500, x val = 128, y val = 127
40816,0.000000,-0.062500, x val = 128, y val = 127
40831,0.000000,-0.062500, x val = 128, y val = 127
40846,0.000000,-0.062500, x val = 128, y val = 127
40861,0.000000,-0.062500, x val = 128, y val = 127
40876,0.000000,-0.062500, x val = 128, y val = 127
40891,0.000000,-0.062500, x val = 128, y val = 127
40906,0.000000,-0.062500, x val = 128, y val = 127
40921,0.000000,-0.062500, x val = 128, y val = 127
40936,0.000000,-0.062500, x val = 128, y val = 127
40951,0.000000,-0.062500, x val = 128, y val = 127
40966,0.000000,-0.062500, x val = 128, y val = 127
40981,0.000000,-0.062500, x val = 128, y val = 127
40996,0.000000,-0.062500, x val = 128, y val = 127
41011,0.000000,-0.062500, x val = 128, y val = 127
41026,0.000000,-0.062500, x val = 128, y val = 127
41041,0.000000,-0.062500, x val = 128, y val = 127
41056,0.000000,-0.062500, x val = 128, y val = 127
41071,0.000000,-0.062500, x val = 128, y val = 127
41086,0.000000,-0.062500, x val = 128, y val = 127
41101,0.000000,-0.062500, x val = 128, y val = 127
41116,0.000000,-0.062500, x val = 128, y val = 127
41131,0.000000,-0.062500, x val = 128, y val = 127
41146,0.000000,-0.062500, x val = 128, y val = 127
41161,0.000000,-0.062500, x val = 128, y val = 127
41176,0.000000,-0.062500, x val = 128, y val = 127
41191,0.000000,-0.062500, x val = 128, y val = 127
41206,0.000000,-0.062500, x val = 128, y val = 127
41221,0.000000,-0.062500, x val = 128, y val = 127
41236,0.000000,-0.062500, x val = 128, y val = 127
41251,0.000000,-0.062500, x val = 128, y val = 127
41266,0.000000,-0.062500, x val = 128, y val = 127
41281,0.000000,-0.062500, x val = 128, y val = 127
41296,0.000000,-0.062500, x val = 128, y val = 127
41311,0.000000,-0.062500, x val = 128, y val = 127
41326,0.000000,-0.062500, x val = 128, y val = 127
41341,0.000000,-0.062500, x val = 128, y val = 127
41356,0.000000,-0.062500, x val = 128, y val = 127
41371,0.000000,-0.062500, x val = 128, y val = 127
41386,0.000000,-0.062500, x val = 128, y val = 127
41401,0.000000,-0.062500, x val = 128, y val = 127
41416,0.000000,-0.062500, x val = 128, y val = 127
41431,0.000000,-0.062500, x val = 128, y val = 127
41446,0.000000,-0.062500, x val = 128, y val = 127
41461,0.000000,-0.062500, x val = 128, y val = 127
41476,0.000000,-0.062500, x val = 128, y val = 127
41491,0.000000,-0.062500, x val = 128, y val = 127
41506,0.000000,-0.062500, x val = 128, y val = 127
41521,0.000000,-0.062500, x val = 128, y val = 127
41536,0.000000,-0.062500, x val = 128, y val = 127
41551,0.000000,-0.062500, x val = 128, y val = 127
41566,0.000000,-0.062500, x val = 128, y val = 127
41581,0.000000,-0.062500, x val = 128, y val = 127
41596,0.000000,-0.062500, x val = 128, y val = 127
41611,0.000000,-0.062500, x val = 128, y val = 127
41626,0.000000,-0.062500, x val = 128, y val = 127
41641,0.000000,-0.062500, x val = 128, y val = 127
41656,0.000000,-0.062500, x val = 128, y val = 127
41671,0.000000,-0.062500, x val = 128, y val = 127
41686,0.000000,-0.062500, x val = 128, y val = 127
41701,0.000000,-0.062500, x val = 128, y val = 127
41716,0.000000,-0.062500, x val = 128, y val = 127
41731,0.000000,-0.062500, x val = 128, y val = 127
41746,0.000000,-0.062500, x val = 128, y val = 127
41761,0.000000,-0.062500, x val = 128, y val = 127
41776,0.000000,-0.062500, x val = 128, y val = 127
41791,0.000000,-0.062500, x val = 128, y val = 127
41806,0.000000,-0.062500, x val = 128, y val = 127
41821,0.000000,-0.062500, x val = 128, y val = 127
41836,0.000000,-0.062500, x val = 128, y val = 127
41851,0.000000,-0.062500, x val = 128, y val = 127
41866,0.000000,-0.125000, x val = 128, y val = 126
41881,0.000000,-0.125000, x val = 128, y val = 126
41896,0.000000,-0.125000, x val = 128, y val = 126
41911,0.000000,-0.125000, x val = 128, y val = 126
41926,0.000000,-0.125000, x val = 128, y val = 126
41941,0.000000,-0.125000, x val = 128, y val = 126
41956,0.000000,-0.125000, x val = 128, y val = 126
41971,0.000000,-0.125000, x val = 128, y val = 126
41986,0.000000,-0.062500, x val = 128, y val = 127
42001,0.000000,-0.062500, x val = 128, y val = 127
42016,0.000000,-0.062500, x val = 128, y val = 127
42031,0.000000,-0.062500, x val = 128, y val = 127
42046,0.000000,-0.062500, x val = 128, y val = 127
42061,0.000000,-0.062500, x val = 128, y val = 127
42076,0.000000,-0.062500, x val = 128, y val = 127
42091,0.000000,-0.062500, x val = 128, y val = 127
42106,0.000000,-0.062500, x val = 128, y val = 127
42121,0.000000,-0.062500, x val = 128, y val = 127
42136,0.000000,-0.062500, x val = 128, y val = 127
42151,0.000000,-0.062500, x val = 128, y val = 127
42166,0.000000,-0.062500, x val = 128, y val = 127
42181,0.000000,-0.062500, x val = 128, y val = 127
42196,0.000000,-0.062500, x val = 128, y val = 127
42211,0.000000,-0.062500, x val = 128, y val = 127
42226,0.000000,-0.062500, x val = 128, y val = 127
42241,0.000000,-0.062500, x val = 128, y val = 127
42256,0.000000,-0.062500, x val = 128, y val = 127
42271,0.000000,-0.062500, x val = 128, y val = 127
42286,0.000000,-0.062500, x val = 128, y val = 127
42301,0.000000,-0.062500, x val = 128, y val = 127
42316,0.000000,-0.062500, x val = 128, y val = 127
42331,0.000000,-0.062500, x val = 128, y val = 127
42346,0.000000,-0.062500, x val = 128, y val = 127
