61183,0.693878,-0.187500, x val = 129, y val = 125
61198,0.693878,-0.187500, x val = 129, y val = 125
61213,0.693878,-0.187500, x val = 129, y val = 125
61228,0.693878,-0.187500, x val = 129, y val = 125
61243,0.693878,-0.187500, x val = 129, y val = 125
61258,0.693878,-0.187500, x val = 129, y val = 125
61273,0.693878,-0.187500, x val = 129, y val = 125
61288,0.693878,-0.187500, x val = 129, y val = 125
61303,0.693878,-0.187500, x val = 129, y val = 125
61318,0.693878,-0.187500, x val = 129, y val = 125
61333,0.693878,-0.187500, x val = 129, y val = 125
61348,0.693878,-0.187500, x val = 129, y val = 125
61363,0.693878,-0.187500, x val = 129, y val = 125
61378,0.693878,-0.187500, x val = 129, y val = 125
61393,0.693878,-0.187500, x val = 129, y val = 125
61408,0.693878,-0.187500, x val = 129, y val = 125
61423,0.693878,-0.187500, x val = 129, y val = 125
61438,0.693878,-0.187500, x val = 129, y val = 125
61453,0.693878,-0.187500, x val = 129, y val = 125
61468,0.693878,-0.187500, x val = 129, y val = 125
61483,0.693878,-0.187500, x val = 129, y val = 125
61498,0.693878,-0.187500, x val = 129, y val = 125
61513,0.693878,-0.187500, x val = 129, y val = 125
61528,0.693878,-0.187500, x val = 129, y val = 125
61543,0.693878,-0.187500, x val = 129, y val = 125
61558,0.693878,-0.187500, x val = 129, y val = 125
61573,0.693878,-0.187500, x val = 129, y val = 125
61588,0.693878,-0.187500, x val = 129, y val = 125
61603,0.693878,-0.187500, x val = 129, y val = 125
61618,0.693878,-0.187500, x val = 129, y val = 125
61633,0.693878,-0.187500, x val = 129, y val = 125
61648,0.693878,-0.187500, x val = 129, y val = 125
61663,0.693878,-0.187500, x val = 129, y val = 125
61678,0.693878,-0.187500, x val = 129, y val = 125
61693,0.693878,-0.187500, x val = 129, y val = 125
61708,0.693878,-0.187500, x val = 129, y val = 125
61723,0.693878,-0.187500, x val = 129, y val = 125
61738,0.693878,-0.187500, x val = 129, y val = 125
61753,0.693878,-0.187500, x val = 129, y val = 125
61768,0.693878,-0.187500, x val = 129, y val = 125
61783,0.693878,-0.187500, x val = 129, y val = 125
61798,0.693878,-0.187500, x val = 129, y val = 125
61813,0.693878,-0.187500, x val = 129, y val = 125
61828,0.693878,-0.187500, x val = 129, y val = 125
61843,0.693878,-0.187500, x val = 129, y val = 125
61858,0.693878,-0.187500, x val = 129, y val = 125
61873,0.693878,-0.187500, x val = 129, y val = 125
61888,0.693878,-0.187500, x val = 129, y val = 125
61903,0.693878,-0.187500, x val = 129, y val = 125
61918,0.693878,-0.187500, x val = 129, y val = 125
61933,0.693878,-0.187500, x val = 129, y val = 125
61948,0.693878,-0.187500, x val = 129, y val = 125
61963,0.693878,-0.187500, x val = 129, y val = 125
61978,0.693878,-0.187500, x val = 129, y val = 125
61993,0.693878,-0.187500, x val = 129, y val = 125
62008,0.693878,-0.187500, x val = 129, y val = 125
62023,0.693878,-0.187500, x val = 129, y val = 125
62038,0.693878,-0.187500, x val = 129, y val = 125
