al = 114
94548,-0.660000,-0.428571, x val = 61, y val = 114
94563,-0.660000,-0.428571, x val = 61, y val = 114
94578,-0.660000,-0.428571, x val = 61, y val = 114
94594,-0.660000,-0.428571, x val = 61, y val = 114
94609,-0.660000,-0.428571, x val = 61, y val = 114
94624,-0.660000,-0.428571, x val = 61, y val = 114
94640,-0.660000,-0.428571, x val = 61, y val = 114
94655,-0.660000,-0.428571, x val = 61, y val = 114
94670,-0.660000,-0.428571, x val = 61, y val = 114
94686,-0.660000,-0.428571, x val = 61, y val = 114
94701,-0.660000,-0.428571, x val = 61, y val = 114
94716,-0.660000,-0.428571, x val = 61, y val = 114
94732,-0.660000,-0.428571, x val = 61, y val = 114
94747,-0.660000,-0.428571, x val = 61, y val = 114
94762,-0.660000,-0.428571, x val = 61, y val = 114
94778,-0.660000,-0.428571, x val = 61, y val = 114
94793,-0.660000,-0.428571, x val = 61, y val = 114
94809,-0.660000,-0.428571, x val = 61, y val = 114
94825,-0.660000,-0.428571, x val = 61, y val = 114
94840,-0.660000,-0.428571, x val = 61, y val = 114
94855,-0.660000,-0.428571, x val = 61, y val = 114
94871,-0.660000,-0.428571, x val = 61, y val = 114
94886,-0.660000,-0.428571, x val = 61, y val = 114
94901,-0.660000,-0.428571, x val = 61, y val = 114
94917,-0.660000,-0.428571, x val = 61, y val = 114
94932,-0.660000,-0.428571, x val = 61, y val = 114
94947,-0.660000,-0.428571, x val = 61, y val = 114
94963,-0.660000,-0.428571, x val = 61, y val = 114
94978,-0.660000,-0.428571, x val = 61, y val = 114
94994,-0.660000,-0.428571, x val = 61, y val = 114
95010,-0.660000,-0.428571, x val = 61, y val = 114
95025,-0.660000,-0.428571, x val = 61, y val = 114
95041,-0.660000,-0.428571, x val = 61, y val = 114
95057,-0.660000,-0.428571, x val = 61, y val = 114
95072,-0.660000,-0.428571, x val = 61, y val = 114
95088,-0.660000,-0.428571, x val = 61, y val = 114
95104,-0.660000,-0.428571, x val = 61, y val = 114
95119,-0.660000,-0.428571, x val = 61, y val = 114
95135,-0.660000,-0.428571, x val = 61, y val = 114
95150,-0.660000,-0.428571, x val = 61, y val = 114
95165,-0.660000,-0.428571, x val = 61, y val = 114
95181,-0.660000,-0.428571, x val = 61, y val = 114
95196,-0.660000,-0.428571, x val = 61, y val = 114
95211,-0.660000,-0.428571, x val = 61, y val = 114
95227,-0.660000,-0.428571, x val = 61, y val = 114
95242,-0.660000,-0.428571, x val = 61, y val = 114
95257,-0.660000,-0.428571, x val = 61, y val = 114
95273,-0.660000,-0.428571, x val = 61, y val = 114
95288,-0.660000,-0.428571, x val = 61, y val = 114
95303,-0.660000,-0.428571, x val = 61, y val = 114
95319,-0.660000,-0.428571, x val = 61, y val = 114
95334,-0.660000,-0.428571, x val = 61, y val = 114
95349,-0.660000,-0.428571, x val = 61, y val = 114
95365,-0.660000,-0.428571, x val = 61, y val = 114
95380,-0.660000,-0.428571, x val = 61, y val = 114
95395,-0.660000,-0.428571, x val = 61, y val = 114
95411,-0.660000,-0.428571, x val = 61, y val = 114
95426,-0.660000,-0.428571, x val = 61, y val = 114
95441,-0.660000,-0.428571, x val = 61, y val = 114
95457,-0.660000,-0.428571, x val = 61, y val = 114
95472,-0.660000,-0.428571, x val = 61, y val = 114
95487,-0.660000,-0.428571, x val = 61, y val = 114
95503,-0.660000,-0.428571, x val = 61, y val = 114
95518,-0.660000,-0.428571, x val = 61, y val = 114
95533,-0.660000,-0.428571, x val = 61, y val = 114
95549,-0.660000,-0.428571, x val = 61, y val = 114
95564,-0.660000,-0.428571, x val = 61, y val = 114
95579,-0.660000,-0.428571, x val = 61, y val = 114
95595,-0.660000,-0.428571, x val = 61, y val = 114
95610,-0.660000,-0.428571, x val = 61, y val = 114
95625,-0.660000,-0.428571, x val = 61, y val = 114
95641,-0.660000,-0.428571, x val = 61, y val = 114
95656,-0.660000,-0.428571, x val = 61, y val = 114
95671,-0.660000,-0.428571, x val = 61, y val = 114
95687,-0.660000,-0.428571, x val = 61, y val = 114
95702,-0.660000,-0.428571, x val = 61, y val = 114
95717,-0.660000,-0.428571, x val = 61, y val = 114
95733,-0.660000,-0.428571, x val = 61, y val = 114
95748,-0.660000,-0.428571, x val = 61, y val = 114
95763,-0.660000,-0.428571, x val = 61, y val = 114
95779,-0.660000,-0.428571, x val = 61, y val = 114
95794,-0.660000,-0.428571, x val = 61, y val = 114
95809,-0.660000,-0.428571, x val = 61, y val = 114
95825,-0.660000,-0.428571, x val = 61, y val = 114
95840,-0.660000,-0.428571, x val = 61, y val = 114
95855,-0.660000,-0.428571, x val = 61, y val = 114
95871,-0.660000,-0.428571, x val = 61, y val = 114
95886,-0.660000,-0.428571, x val = 61, y val = 114
95901,-0.660000,-0.428571, x val = 61, y val = 114
95917,-0.660000,-0.428571, x val = 61, y val = 114
95932,-0.660000,-0.428571, x val = 61, y val = 114
95947,-0.660000,-0.428571, x val = 61, y val = 114
95963,-0.660000,-0.428571, x val = 61, y val = 114
95978,-0.660000,-0.428571, x val = 61, y val = 114
95993,-0.660000,-0.428571, x val = 61, y val = 114
96009,-0.660000,-0.428571, x val = 61, y val = 114
96024,-0.660000,-0.428571, x val = 61, y val = 114
96039,-0.660000,-0.428571, x val = 61, y val = 114
96055,-0.660000,-0.428571, x val = 61, y val = 114
96070,-0.660000,-0.428571, x val = 61, y val = 114
96086,-0.660000,-0.428571, x val = 61, y val = 114
96102,-0.660000,-0.428571, x val = 61, y val = 114
96117,-0.660000,-0.428571, x val = 61, y val = 114
96133,-0.660000,-0.428571, x val = 61, y val = 114
96149,-0.660000,-0.428571, x val = 61, y val = 114
96164,-0.660000,-0.428571, x val = 61, y val = 114
96180,-0.660000,-0.428571, x val = 61, y val = 114
96196,-0.660000,-0.428571, x val = 61, y val = 114
96211,-0.660000,-0.428571, x val = 61, y val = 114
96227,-0.660000,-0.428571, x val = 61, y val = 114
96242,-0.660000,-0.428571, x val = 61, y val = 114
96257,-0.660000,-0.428571, x val = 61, y val = 114
96273,-0.660000,-0.428571, x val = 61, y val = 114
96288,-0.660000,-0.428571, x val = 61, y val = 114
96303,-0.660000,-0.428571, x val = 61, y val = 114
96319,-0.660000,-0.428571, x val = 61, y val = 114
96334,-0.660000,-0.428571, x val = 61, y val = 114
96349,-0.660000,-0.428571, x val = 61, y val = 114
96365,-0.660000,-0.428571, x val = 61, y val = 114
96380,-0.660000,-0.428571, x val = 61, y val = 114
96395,-0.660000,-0.428571, x val = 61, y val = 114
96411,-0.660000,-0.428571, x val = 61, y val = 114
96426,-0.660000,-0.428571, x val = 61, y val = 114
96441,-0.660000,-0.428571, x val = 61, y val = 114
96457,-0.660000,-0.428571, x val = 61, y val = 114
96472,-0.660000,-0.428571, x val = 61, y val = 114
96487,-0.660000,-0.428571, x val = 61, y val = 114
96503,-0.660000,-0.428571, x val = 61, y val = 114
96518,-0.660000,-0.428571, x val = 61, y val = 114
96533,-0.660000,-0.428571, x val = 61, y val = 114
96549,-0.660000,-0.428571, x val = 61, y val = 114
96564,-0.660000,-0.428571, x val = 61, y val = 114
96579,-0.660000,-0.428571, x val = 61, y val = 114
96595,-0.660000,-0.428571, x val = 61, y val = 114
96610,-0.660000,-0.428571, x val = 61, y val = 114
96625,-0.660000,-0.428571, x val = 61, y val = 114
96641,-0.660000,-0.428571, x val = 61, y val = 114
96656,-0.660000,-0.428571, x val = 61, y val = 114
96671,-0.660000,-0.428571, x val = 61, y val = 114
96687,-0.660000,-0.428571, x val = 61, y val = 114
96702,-0.660000,-0.428571, x val = 61, y val = 114
96717,-0.660000,-0.428571, x val = 61, y val = 114
96733,-0.660000,-0.380952, x val = 61, y val = 115
96748,-0.660000,-0.380952, x val = 61, y val = 115
96763,-0.660000,-0.380952, x val = 61, y val = 115
96779,-0.660000,-0.380952, x val = 61, y val = 115
96794,-0.660000,-0.380952, x val = 61, y val = 115
96809,-0.660000,-0.380952, x val = 61, y val = 115
96825,-0.660000,-0.380952, x val = 61, y val = 115
96840,-0.660000,-0.380952, x val = 61, y val = 115
96855,-0.660000,-0.380952, x val = 61, y val = 115
96871,-0.660000,-0.380952, x val = 61, y val = 115
96886,-0.660000,-0.380952, x val = 61, y val = 115
96901,-0.660000,-0.380952, x val = 61, y val = 115
96917,-0.660000,-0.380952, x val = 61, y val = 115
96932,-0.660000,-0.380952, x val = 61, y val = 115
96947,-0.660000,-0.380952, x val = 61, y val = 115
96963,-0.660000,-0.380952, x val = 61, y val = 115
96978,-0.660000,-0.380952, x val = 61, y val = 115
96993,-0.660000,-0.380952, x val = 61, y val = 115
97009,-0.660000,-0.380952, x val = 61, y val = 115
97024,-0.660000,-0.380952, x val = 61, y val = 115
97039,-0.660000,-0.380952, x val = 61, y val = 115
97055,-0.660000,-0.380952, x val = 61, y val = 115
97070,-0.660000,-0.380952, x val = 61, y val = 115
97085,-0.660000,-0.380952, x val = 61, y val = 115
97101,-0.660000,-0.380952, x val = 61, y val = 115
97116,-0.660000,-0.380952, x val = 61, y val = 115
97131,-0.660000,-0.333333, x val = 61, y val = 116
97147,-0.660000,-0.333333, x val = 61, y val = 116
97162,-0.660000,-0.285714, x val = 61, y val = 117
97178,-0.660000,-0.285714, x val = 61, y val = 117
97194,-0.660000,-0.238095, x val = 61, y val = 118
97209,-0.660000,-0.238095, x val = 61, y val = 118
97224,-0.660000,-0.238095, x val = 61, y val = 118
97240,-0.660000,-0.238095, x val = 61, y val = 118
97255,-0.660000,-0.190476, x val = 61, y val = 119
97270,-0.660000,-0.190476, x val = 61, y val = 119
97286,-0.660000,-0.142857, x val = 61, y val = 120
97301,-0.660000,-0.142857, x val = 61, y val = 120
97317,-0.660000,-0.095238, x val = 61, y val = 121
97333,-0.660000,0.000000, x val = 61, y val = 123
97348,-0.660000,0.000000, x val = 61, y val = 123
97363,-0.660000,0.000000, x val = 61, y val = 123
97378,-0.660000,0.000000, x val = 61, y val = 123
97393,-0.660000,0.000000, x val = 61, y val = 123
97408,-0.660000,0.000000, x val = 61, y val = 123
97423,-0.660000,0.000000, x val = 61, y val = 123
97438,-0.660000,0.000000, x val = 61, y val = 123
97453,-0.660000,0.000000, x val = 61, y val = 123
97468,-0.660000,0.000000, x val = 61, y val = 123
97483,-0.660000,0.000000, x val = 61, y val = 123
97498,-0.660000,0.000000, x val = 61, y val = 123
97513,-0.660000,0.000000, x val = 61, y val = 123
97528,-0.660000,0.000000, x val = 61, y val = 123
