111219,-0.647059,-0.333333, x val = 60, y val = 114
111235,-0.647059,-0.333333, x val = 60, y val = 114
111251,-0.647059,-0.333333, x val = 60, y val = 114
111267,-0.647059,-0.333333, x val = 60, y val = 114
111283,-0.647059,-0.333333, x val = 60, y val = 114
111299,-0.647059,-0.333333, x val = 60, y val = 114
111315,-0.647059,-0.333333, x val = 60, y val = 114
111331,-0.647059,-0.333333, x val = 60, y val = 114
111347,-0.647059,-0.333333, x val = 60, y val = 114
111363,-0.647059,-0.333333, x val = 60, y val = 114
111379,-0.647059,-0.333333, x val = 60, y val = 114
111395,-0.647059,-0.333333, x val = 60, y val = 114
111411,-0.647059,-0.333333, x val = 60, y val = 114
111427,-0.647059,-0.333333, x val = 60, y val = 114
111443,-0.647059,-0.333333, x val = 60, y val = 114
111459,-0.647059,-0.333333, x val = 60, y val = 114
111475,-0.647059,-0.333333, x val = 60, y val = 114
111491,-0.647059,-0.333333, x val = 60, y val = 114
111507,-0.647059,-0.333333, x val = 60, y val = 114
111523,-0.647059,-0.333333, x val = 60, y val = 114
111539,-0.647059,-0.333333, x val = 60, y val = 114
111555,-0.647059,-0.333333, x val = 60, y val = 114
111571,-0.647059,-0.333333, x val = 60, y val = 114
111587,-0.647059,-0.333333, x val = 60, y val = 114
111603,-0.647059,-0.333333, x val = 60, y val = 114
111619,-0.647059,-0.333333, x val = 60, y val = 114
111635,-0.647059,-0.333333, x val = 60, y val = 114
111651,-0.647059,-0.333333, x val = 60, y val = 114
111667,-0.647059,-0.333333, x val = 60, y val = 114
111683,-0.647059,-0.333333, x val = 60, y val = 114
111699,-0.647059,-0.333333, x val = 60, y val = 114
111715,-0.647059,-0.333333, x val = 60, y val = 114
111731,-0.647059,-0.333333, x val = 60, y val = 114
111747,-0.647059,-0.333333, x val = 60, y val = 114
111763,-0.647059,-0.333333, x val = 60, y val = 114
111779,-0.647059,-0.333333, x val = 60, y val = 114
111795,-0.647059,-0.333333, x val = 60, y val = 114
111811,-0.647059,-0.333333, x val = 60, y val = 114
111827,-0.647059,-0.333333, x val = 60, y val = 114
111843,-0.647059,-0.333333, x val = 60, y val = 114
111859,-0.647059,-0.333333, x val = 60, y val = 114
111875,-0.647059,-0.333333, x val = 60, y val = 114
111891,-0.647059,-0.333333, x val = 60, y val = 114
111907,-0.647059,-0.333333, x val = 60, y val = 114
111923,-0.647059,-0.333333, x val = 60, y val = 114
111939,-0.647059,-0.333333, x val = 60, y val = 114
111955,-0.647059,-0.333333, x val = 60, y val = 114
111971,-0.647059,-0.333333, x val = 60, y val = 114
111987,-0.647059,-0.333333, x val = 60, y val = 114
112003,-0.647059,-0.333333, x val = 60, y val = 114
112019,-0.647059,-0.333333, x val = 60, y val = 114
112035,-0.647059,-0.333333, x val = 60, y val = 114
112051,-0.647059,-0.333333, x val = 60, y val = 114
112067,-0.647059,-0.333333, x val = 60, y val = 114
112083,-0.647059,-0.333333, x val = 60, y val = 114
112099,-0.647059,-0.333333, x val = 60, y val = 114
112115,-0.647059,-0.333333, x val = 60, y val = 114
112131,-0.647059,-0.333333, x val = 60, y val = 114
112147,-0.647059,-0.333333, x val = 60, y val = 114
112163,-0.647059,-0.333333, x val = 60, y val = 114
112179,-0.647059,-0.333333, x val = 60, y val = 114
112195,-0.647059,-0.333333, x val = 60, y val = 114
112211,-0.647059,-0.333333, x val = 60, y val = 114
112227,-0.647059,-0.333333, x val = 60, y val = 114
112243,-0.647059,-0.333333, x val = 60, y val = 114
112259,-0.647059,-0.333333, x val = 60, y val = 114
112275,-0.647059,-0.333333, x val = 60, y val = 114
112291,-0.647059,-0.333333, x val = 60, y val = 114
112307,-0.647059,-0.333333, x val = 60, y val = 114
112323,-0.647059,-0.333333, x val = 60, y val = 114
112339,-0.647059,-0.333333, x val = 60, y val = 114
112355,-0.647059,-0.333333, x val = 60, y val = 114
112371,-0.647059,-0.333333, x val = 60, y val = 114
112387,-0.647059,-0.333333, x val = 60, y val = 114
112403,-0.647059,-0.333333, x val = 60, y val = 114
112419,-0.647059,-0.333333, x val = 60, y val = 114
112435,-0.647059,-0.333333, x val = 60, y val = 114
112451,-0.647059,-0.333333, x val = 60, y val = 114
112467,-0.647059,-0.333333, x val = 60, y val = 114
112483,-0.647059,-0.333333, x val = 60, y val = 114
112499,-0.647059,-0.333333, x val = 60, y val = 114
112515,-0.647059,-0.333333, x val = 60, y val = 114
112531,-0.647059,-0.333333, x val = 60, y val = 114
112547,-0.647059,-0.333333, x val = 60, y val = 114
112563,-0.647059,-0.333333, x val = 60, y val = 114
112579,-0.647059,-0.333333, x val = 60, y val = 114
112595,-0.647059,-0.333333, x val = 60, y val = 114
112611,-0.647059,-0.333333, x val = 60, y val = 114
112627,-0.647059,-0.333333, x val = 60, y val = 114
112643,-0.647059,-0.333333, x val = 60, y val = 114
112659,-0.647059,-0.333333, x val = 60, y val = 114
112675,-0.647059,-0.333333, x val = 60, y val = 114
112691,-0.647059,-0.333333, x val = 60, y val = 114
112707,-0.647059,-0.333333, x val = 60, y val = 114
112723,-0.647059,-0.333333, x val = 60, y val = 114
112739,-0.647059,-0.333333, x val = 60, y val = 114
112755,-0.647059,-0.333333, x val = 60, y val = 114
112771,-0.647059,-0.333333, x val = 60, y val = 114
112787,-0.647059,-0.333333, x val = 60, y val = 114
112803,-0.647059,-0.333333, x val = 60, y val = 114
112819,-0.647059,-0.333333, x val = 60, y val = 114
112835,-0.647059,-0.333333, x val = 60, y val = 114
112851,-0.647059,-0.333333, x val = 60, y val = 114
112867,-0.647059,-0.333333, x val = 60, y val = 114
112883,-0.647059,-0.333333, x val = 60, y val = 114
112899,-0.647059,-0.333333, x val = 60, y val = 114
112915,-0.647059,-0.333333, x val = 60, y val = 114
112931,-0.647059,-0.333333, x val = 60, y val = 114
112947,-0.647059,-0.333333, x val = 60, y val = 114
112963,-0.647059,-0.333333, x val = 60, y val = 114
112979,-0.647059,-0.333333, x val = 60, y val = 114
112995,-0.647059,-0.333333, x val = 60, y val = 114
113011,-0.647059,-0.333333, x val = 60, y val = 114
113027,-0.647059,-0.333333, x val = 60, y val = 114
113043,-0.647059,-0.333333, x val = 60, y val = 114
113059,-0.647059,-0.333333, x val = 60, y val = 114
113075,-0.647059,-0.333333, x val = 60, y val = 114
113091,-0.647059,-0.333333, x val = 60, y val = 114
113107,-0.647059,-0.333333, x val = 60, y val = 114
113123,-0.647059,-0.333333, x val = 60, y val = 114
113139,-0.647059,-0.333333, x val = 60, y val = 114
113155,-0.647059,-0.333333, x val = 60, y val = 114
113171,-0.647059,-0.333333, x val = 60, y val = 114
113187,-0.647059,-0.333333, x val = 60, y val = 114
113203,-0.647059,-0.333333, x val = 60, y val = 114
113219,-0.647059,-0.333333, x val = 60, y val = 114
113235,-0.647059,-0.333333, x val = 60, y val = 114
113251,-0.647059,-0.333333, x val = 60, y val = 114
113267,-0.647059,-0.333333, x val = 60, y val = 114
113283,-0.647059,-0.333333, x val = 60, y val = 114
113299,-0.647059,-0.333333, x val = 60, y val = 114
113315,-0.647059,-0.333333, x val = 60, y val = 114
113331,-0.647059,-0.333333, x val = 60, y val = 114
113347,-0.647059,-0.333333, x val = 60, y val = 114
113363,-0.647059,-0.333333, x val = 60, y val = 114
113379,-0.647059,-0.333333, x val = 60, y val = 114
113395,-0.647059,-0.333333, x val = 60, y val = 114
113411,-0.647059,-0.333333, x val = 60, y val = 114
113427,-0.647059,-0.333333, x val = 60, y val = 114
113443,-0.647059,-0.333333, x val = 60, y val = 114
113459,-0.647059,-0.333333, x val = 60, y val = 114
113475,-0.647059,-0.333333, x val = 60, y val = 114
113491,-0.647059,-0.333333, x val = 60, y val = 114
113507,-0.647059,-0.333333, x val = 60, y val = 114
113523,-0.647059,-0.333333, x val = 60, y val = 114
113539,-0.647059,-0.333333, x val = 60, y val = 114
113555,-0.647059,-0.333333, x val = 60, y val = 114
113571,-0.647059,-0.377778, x val = 60, y val = 113
113587,-0.647059,-0.377778, x val = 60, y val = 113
113603,-0.647059,-0.377778, x val = 60, y val = 113
113619,-0.647059,-0.377778, x val = 60, y val = 113
113635,-0.647059,-0.377778, x val = 60, y val = 113
113651,-0.647059,-0.377778, x val = 60, y val = 113
113667,-0.647059,-0.377778, x val = 60, y val = 113
113683,-0.647059,-0.377778, x val = 60, y val = 113
113699,-0.647059,-0.377778, x val = 60, y val = 113
113715,-0.647059,-0.377778, x val = 60, y val = 113
113731,-0.647059,-0.377778, x val = 60, y val = 113
113747,-0.647059,-0.377778, x val = 60, y val = 113
113763,-0.647059,-0.377778, x val = 60, y val = 113
113779,-0.647059,-0.377778, x val = 60, y val = 113
113795,-0.647059,-0.377778, x val = 60, y val = 113
113811,-0.647059,-0.377778, x val = 60, y val = 113
113827,-0.647059,-0.377778, x val = 60, y val = 113
113843,-0.647059,-0.377778, x val = 60, y val = 113
113859,-0.647059,-0.377778, x val = 60, y val = 113
113875,-0.647059,-0.333333, x val = 60, y val = 114
113891,-0.647059,-0.333333, x val = 60, y val = 114
113907,-0.647059,-0.333333, x val = 60, y val = 114
113923,-0.647059,-0.288889, x val = 60, y val = 115
113939,-0.647059,-0.288889, x val = 60, y val = 115
113955,-0.647059,-0.288889, x val = 60, y val = 115
113971,-0.647059,-0.288889, x val = 60, y val = 115
113987,-0.647059,-0.244444, x val = 60, y val = 116
114003,-0.647059,-0.200000, x val = 60, y val = 117
114019,-0.647059,-0.200000, x val = 60, y val = 117
114035,-0.647059,-0.200000, x val = 60, y val = 117
114051,-0.647059,-0.155556, x val = 60, y val = 118
114067,-0.647059,-0.155556, x val = 60, y val = 118
